商品,销量,标签
100g*5瓶益力多,34,正常
100g卫龙点心面黑椒牛排味,5,滞销
100g果王咸柑桔罐装,17,正常
100g越南LIPO奶味面包干,1,滞销
103g康师傅红烧牛肉面,15,正常
107g出前一丁桶面酱香牛肉王,12,正常
10g卫龙亲嘴烧香辣味,24,正常
10g越南LIPO奶味面包干,5,滞销
10g越南LIPO奶味面包干0015,4,滞销
10g越南LIPO奶味面包干0046,2,滞销
110g顺宝九制话梅,39,正常
117gUFO炒面铁板色拉鱿鱼风味,5,滞销
120g达利园蔓越莓提子面包,1,滞销
123gUFO炒面XO酱海鲜风味,2,滞销
12g劲仔小鱼卤香味,18,正常
12g劲仔小鱼麻辣味,92,正常
130g果王玉带蚕豆,5,滞销
13g无穷烤鸡小腿蜂蜜味,186,热销
13g雀巢咖啡1+2特浓,4,滞销
145g果王迷你山楂包装,4,滞销
145ml旺仔牛奶盒装,121,热销
145ml旺仔牛奶罐装,2,滞销
148g富甲一方紫薯仔,35,正常
14g德芙巧克力,2,滞销
150g健能酸奶原味,20,正常
150g洽洽原香瓜子,10,正常
150抽诗竹竹纤维面巾纸,7,滞销
160g盼盼手撕面包,26,正常
180g统一满汉全席台式半筋半肉牛肉面,6,滞销
180ml雀巢咖啡罐装,16,正常
182g徐福记凤梨酥,1,滞销
188g澳门永辉鸡仔饼,3,滞销
205g伊利安慕希原味,42,正常
205ml安慕希蓝莓味,7,滞销
20g咩咩世界虾味条,3,滞销
20g咪咪虾条马来西亚风味,156,热销
20g士力架,5,滞销
20g洽洽每日坚果,1,滞销
20g马来西亚风味咪咪蟹味粒0219,19,正常
220g宝丰龙龟苓膏,2,滞销
220g宝丰龙龟苓膏菊花味,2,滞销
225g味之不规则饼干芝士味,20,正常
250ML东鹏特饮,15,正常
250ml燕塘原味酸奶,89,正常
250ml燕塘甜牛奶,118,热销
250ml燕塘红枣牛奶,110,热销
250ml王老吉盒装,19,正常
250ml红牛,55,正常
250ml统一麦香奶茶,14,正常
250ml维他原味豆奶,125,热销
250ml维他奶低糖原味,19,正常
250ml维他奶巧克力味,64,正常
250ml维他奶黑豆奶饮品,9,滞销
250ml维他柠檬茶,134,热销
250ml维他椰子植物蛋白饮料,8,滞销
250ml维他椰子植物蛋白饮料9374,6,滞销
250ml香满楼纯牛奶,2,滞销
260g马来西亚进口茱蒂丝口口香饼干,8,滞销
268ml雀巢咖啡丝滑拿铁,82,正常
2g韩国海牌海苔,47,正常
30g元朗小蛋卷,24,正常
30g无穷农场盐_鸡蛋,186,热销
32g卫龙亲嘴烧,141,热销
32g卫龙亲嘴烧川香味,8,滞销
32g卫龙亲嘴烧红烧牛肉味,73,正常
330ml伊利畅意乳酸菌原味,61,正常
34g公仔迷你杯牛肉味,10,正常
34g公仔迷你杯风味排骨味,1,滞销
37.5g费列罗榛果威化巧克力3颗,23,正常
370g泰奇八宝粥,22,正常
40g上好佳日式鱼果,8,滞销
40g上好佳田园薯片番茄味,4,滞销
40g乐事美国经典原味,27,正常
40g乐事薯片墨西哥鸡汁番茄味,11,正常
40g乐事薯片黄瓜味,47,正常
40g卫龙点心面黑椒牛排味,5,滞销
40g双汇玉米热狗肠,178,热销
40g呀土豆番茄酱味,19,正常
40g呀土豆薯片滋香烤鸡味,24,正常
40g盼盼手撕面包,1,滞销
430g泰奇八宝粥,58,正常
450ml美汁源果粒橙,52,正常
45g双汇泡面拍挡,44,正常
480ml小茗同学冷泡溜溜哒茶,2,滞销
480ml小茗同学冷泡青柠红茶,33,正常
48g好丽友薯愿香烤原味,26,正常
500ML宝矿力,4,滞销
500ml农夫果园 (芒果+菠萝+番石榴),26,正常
500ml加多宝,39,正常
500ml康师傅冰糖雪梨,4,滞销
500ml恒大冰泉矿泉水,3,滞销
500ml统一冰糖雪梨,2,滞销
500ml统一阿萨姆奶茶,56,正常
500ml营养快线原味,6,滞销
50g上好佳日式鱼果,27,正常
50g上好佳田园薯片番茄味,18,正常
50g双层百力滋奶咖味,5,滞销
50g双层百力滋特浓番茄味,9,滞销
50g马赛克手撕鱿鱼条,19,正常
52g旺旺仙贝,45,正常
55g奥利奥原味夹心饼干,13,正常
55g奥利奥原味芝士饼干,48,正常
55g奥利奥迷你杯夹心小饼干杯装原味,7,滞销
56g益达无糖口香糖,2,滞销
58.5g钙芝奶酪味高钙威化饼干,2,滞销
58g丽芝士纳宝帝奶酪威化饼干,41,正常
5片装益达绿箭口香糖,10,正常
600ml可口可乐,34,正常
600ml脉动青柠,45,正常
600ml雪碧,38,正常
60g湖湘贡手撕鸭脖原味,1,滞销
65g卫龙亲嘴豆皮,26,正常
65g格力高百力滋饼干巧克力味,1,滞销
68g多力多玉米片爆香热辣味,7,滞销
68g好丽友巧克力派2枚,23,正常
68g好丽友蛋黄派2枚,13,正常
70g乐事薯片原味,9,滞销
70g乐事薯片青柠味,1,滞销
70g乐事薯片黄瓜味,18,正常
70g乐事薯片（原味）,6,滞销
70g乐事薯片（黄瓜味）,10,正常
70g乖媳妇野山泡椒凤爪,62,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,45,正常
78g卫龙亲嘴语辣条,62,正常
78g卫龙亲语,1,滞销
78g合味道杯面香菇炖鸡风味,3,滞销
80g四洲粟一烧烧烤味,28,正常
80g粤光宝盒芒果干,1,滞销
80g香飘飘椰果奶茶原味,11,正常
80g香飘飘椰果奶茶麦香味,11,正常
80g马赛克香蕉片,16,正常
83g汤达人酸辣豚骨拉面,3,滞销
85g嘉士利果乐果香夹心饼干蓝莓味,40,正常
85g新麦潮北海道吐司,95,正常
85g新麦潮手撕面包（提子味）,77,正常
85g统一老坛酸菜牛肉面,81,正常
86g合味道浓猪骨味,14,正常
86g合味道海鲜风味,95,正常
91g徐福记凤梨酥,36,正常
上好佳田园薯片,6,滞销
东鹏特饮,417,热销
丽芝士纳宝帝奶酪威化饼干,7,滞销
乐事薯片（青柠）,2,滞销
乐事薯片（黄瓜味）,1,滞销
乐虎,8,滞销
乐虎（380ml）,5,滞销
伊利优酸乳,143,热销
伊利纯牛奶,45,正常
优益C活菌型乳酸菌饮品,14,正常
健能酸奶,1,滞销
农夫果园,8,滞销
冰糖雪梨,39,正常
冰红茶（罐）,6,滞销
凤爪,8,滞销
加多宝,3,滞销
劲仔小鱼,9,滞销
劲仔小鱼（卤香味）,10,正常
劲仔小鱼（酱汁味）,2,滞销
劲仔小鱼（香辣味）,2,滞销
劲仔小鱼（麻辣味）,7,滞销
卫龙亲嘴烧红烧牛肉味,44,正常
卫龙亲嘴烧麦辣鸡汁味,14,正常
卫龙大面筋,146,热销
印尼芝士威化饼干,25,正常
双汇玉米热狗肠,16,正常
口味王槟榔（红）,23,正常
口味王槟榔（绿色）,2,滞销
口味王槟榔（绿）,60,正常
可乐可乐,10,正常
可口可乐330ml,54,正常
可口可乐330ml（罐）,5,滞销
可口可乐最新款,46,正常
可口可乐（500ml）,101,热销
合味道（浓猪骨）,5,滞销
合味道（海鲜风味）,3,滞销
味之不规则饼干（芝士味）,1,滞销
和成天下（黄）,1,滞销
咪咪,8,滞销
咪咪虾条马来西亚风味,36,正常
商品1,2,滞销
商品2,4,滞销
四洲粟一烧烧烤味,8,滞销
多力多滋（热辣味）,1,滞销
多芙利香草奶油味蛋糕,6,滞销
天地一号,4,滞销
奥利奥原味芝士,6,滞销
好吃点,14,正常
好吃点小饼干,23,正常
威化饼干,4,滞销
娃哈哈红枣酸奶,2,滞销
安慕希酸奶,2,滞销
小糖衣血糖仪,18,正常
小糖衣血糖试纸,1,滞销
小茗同学,6,滞销
小鱼仔,114,热销
尖叫,19,正常
巧克力奶油味蛋糕,2,滞销
康师傅拉面(袋),1,滞销
康师傅矿泉水,19,正常
怡宝,55,正常
怡宝矿泉水,11,正常
怡宝纯净水,531,热销
手撕素肉排,25,正常
拿铁咖啡（统一）,3,滞销
新麦潮北海道吐司,4,滞销
新麦潮天然酵母面包,14,正常
新麦潮天然酵母面包（牛奶风味）,7,滞销
新麦潮天然酵母面包（良品铺子）,1,滞销
新麦潮手撕面包（提子味）,3,滞销
无穷农场盐_鸡蛋,32,正常
无穷烤鸡小腿（蜂蜜）,20,正常
日式鱼果,12,正常
旺仔牛奶,14,正常
旺仔牛奶145ml,3,滞销
果粒橙,145,热销
椰树牌椰汁,14,正常
汤达人方便面,2,滞销
泰奇八宝粥,9,滞销
湘潭铺子(羽泉版),18,正常
熊字饼,47,正常
