商品,销量,标签
100g*5瓶益力多,35,正常
100g卫龙点心面黑椒牛排味,5,滞销
100g果王咸柑桔罐装,8,滞销
103g康师傅红烧牛肉面,10,正常
107g出前一丁桶面酱香牛肉王,3,滞销
10g卫龙亲嘴烧香辣味,57,正常
110g顺宝九制话梅,32,正常
117gUFO炒面铁板色拉鱿鱼风味,4,滞销
12g劲仔小鱼卤香味,16,正常
12g劲仔小鱼麻辣味,92,正常
130g果王玉带蚕豆,7,滞销
13g无穷烤鸡小腿蜂蜜味,157,热销
13g雀巢咖啡1+2特浓,2,滞销
145g果王迷你山楂包装,14,正常
145ml旺仔牛奶盒装,155,热销
145ml旺仔牛奶罐装,3,滞销
148g富甲一方紫薯仔,32,正常
150g健能酸奶原味,20,正常
150g洽洽原香瓜子,14,正常
150抽诗竹竹纤维面巾纸,3,滞销
160g盼盼手撕面包,45,正常
180g统一满汉全席台式半筋半肉牛肉面,12,正常
180ml雀巢咖啡罐装,14,正常
188g澳门永辉鸡仔饼,7,滞销
200g喜之郎/什锦果肉,1,滞销
205g伊利安慕希原味,53,正常
205ml安慕希蓝莓味,5,滞销
20g咪咪虾条马来西亚风味,141,热销
20g士力架,1,滞销
20g马来西亚风味咪咪蟹味粒0219,30,正常
220g宝丰龙龟苓膏,9,滞销
220g宝丰龙龟苓膏绿豆味,1,滞销
220g宝丰龙龟苓膏菊花味,1,滞销
225g味之不规则饼干芝士味,19,正常
250ML东鹏特饮,21,正常
250ml燕塘原味酸奶,70,正常
250ml燕塘甜牛奶,123,热销
250ml燕塘红枣牛奶,65,正常
250ml王老吉盒装,17,正常
250ml红牛,56,正常
250ml统一麦香奶茶,13,正常
250ml维他原味豆奶,129,热销
250ml维他奶低糖原味,15,正常
250ml维他奶巧克力味,87,正常
250ml维他奶黑豆奶饮品,8,滞销
250ml维他柠檬茶,139,热销
250ml维他椰子植物蛋白饮料,6,滞销
250ml香满楼纯牛奶,2,滞销
260g马来西亚进口茱蒂丝口口香饼干,18,正常
268ml雀巢咖啡丝滑拿铁,85,正常
2g韩国海牌海苔,64,正常
30g元朗小蛋卷,19,正常
30g无穷农场盐_鸡蛋,141,热销
32g卫龙亲嘴烧,81,正常
32g卫龙亲嘴烧川香味,12,正常
32g卫龙亲嘴烧红烧牛肉味,46,正常
330ml伊利畅意乳酸菌原味,76,正常
330ml伊利畅意乳酸菌草莓味,2,滞销
340ml蒙牛优益C乳酸菌,5,滞销
34g公仔迷你杯牛肉味,3,滞销
34g公仔迷你杯风味排骨味,4,滞销
37.5g费列罗榛果威化巧克力3颗,9,滞销
370g泰奇八宝粥,17,正常
40g上好佳日式鱼果,16,正常
40g上好佳田园薯片番茄味,1,滞销
40g乐事美国经典原味,19,正常
40g乐事薯片墨西哥鸡汁番茄味,11,正常
40g乐事薯片黄瓜味,17,正常
40g卫龙点心面黑椒牛排味,5,滞销
40g双汇玉米热狗肠,189,热销
40g呀土豆番茄酱味,19,正常
40g呀土豆薯片滋香烤鸡味,24,正常
430g泰奇八宝粥,51,正常
450ml美汁源果粒橙,52,正常
45g双汇泡面拍挡,43,正常
480ml小茗同学冷泡溜溜哒茶,3,滞销
480ml小茗同学冷泡青柠红茶,34,正常
48g好丽友薯愿香烤原味,17,正常
500ML宝矿力,5,滞销
500ml农夫果园 (芒果+菠萝+番石榴),23,正常
500ml加多宝,34,正常
500ml康师傅冰糖雪梨,11,正常
500ml恒大冰泉矿泉水,1,滞销
500ml统一冰糖雪梨,2,滞销
500ml统一阿萨姆奶茶,70,正常
500ml营养快线原味,12,正常
50g上好佳日式鱼果,12,正常
50g上好佳田园薯片番茄味,22,正常
50g双层百力滋奶咖味,2,滞销
50g双层百力滋特浓番茄味,2,滞销
50g马赛克手撕鱿鱼条,8,滞销
52g旺旺仙贝,29,正常
55g奥利奥原味夹心饼干,14,正常
55g奥利奥原味芝士饼干,31,正常
55g奥利奥迷你杯夹心小饼干杯装原味,3,滞销
58g丽芝士纳宝帝奶酪威化饼干,43,正常
5片装益达绿箭口香糖,13,正常
600ml可口可乐,83,正常
600ml脉动青柠,35,正常
600ml雪碧,49,正常
65g卫龙亲嘴豆皮,27,正常
68g多力多玉米片爆香热辣味,5,滞销
68g好丽友巧克力派2枚,28,正常
68g好丽友蛋黄派2枚,8,滞销
70g乐事薯片原味,7,滞销
70g乐事薯片黄瓜味,15,正常
70g乐事薯片（原味）,9,滞销
70g乐事薯片（黄瓜味）,13,正常
70g乖媳妇野山泡椒凤爪,52,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,66,正常
78g卫龙亲嘴语辣条,65,正常
78g合味道杯面香菇炖鸡风味,5,滞销
80g四洲粟一烧烧烤味,15,正常
80g盼盼手撕面包,2,滞销
80g香飘飘椰果奶茶原味,15,正常
80g香飘飘椰果奶茶麦香味,12,正常
80g马赛克香蕉片,12,正常
83g汤达人酸辣豚骨拉面,2,滞销
85g嘉士利果乐果香夹心饼干蓝莓味,49,正常
85g新麦潮北海道吐司,116,热销
85g新麦潮手撕面包（提子味）,110,热销
85g统一老坛酸菜牛肉面,89,正常
86g合味道浓猪骨味,9,滞销
86g合味道海鲜风味,82,正常
90g顺宝九制杨梅,1,滞销
91g徐福记凤梨酥,34,正常
上好佳田园薯片,9,滞销
东鹏特饮,474,热销
丽芝士纳宝帝奶酪威化饼干,11,正常
乐事薯片（青柠）,2,滞销
乐事薯片（黄瓜味）,1,滞销
乐虎,7,滞销
乐虎（380ml）,11,正常
乖媳妇野山椒风爪,1,滞销
伊利优酸乳,179,热销
伊利纯牛奶,92,正常
优益C活菌型乳酸菌饮品,4,滞销
健能酸奶,8,滞销
农夫果园,3,滞销
冰糖雪梨,59,正常
冰红茶（罐）,6,滞销
凤爪,20,正常
利群（硬）,2,滞销
加多宝,6,滞销
劲仔小鱼（卤香味）,9,滞销
劲仔小鱼（麻辣味）,4,滞销
卫龙亲嘴烧红烧牛肉味,6,滞销
卫龙亲嘴烧麦辣鸡汁味,4,滞销
卫龙大面筋,190,热销
印尼芝士威化饼干,30,正常
双汇玉米热狗肠,19,正常
口味王槟榔（红）,31,正常
口味王槟榔（绿色）,2,滞销
口味王槟榔（绿）,94,正常
可乐可乐,10,正常
可口可乐330ml,212,热销
可口可乐330ml（罐）,5,滞销
可口可乐最新款,109,热销
可口可乐（500ml）,57,正常
合味道（浓猪骨）,1,滞销
合味道（海鲜风味）,11,正常
味之不规则饼干（芝士味）,2,滞销
和成天下（黄）,1,滞销
咪咪,18,正常
咪咪虾条马来西亚风味,23,正常
商品1,2,滞销
商品14,1,滞销
商品2,2,滞销
四洲粟一烧烧烤味,5,滞销
多芙利香草奶油味蛋糕,2,滞销
天地一号,5,滞销
奥利奥原味芝士,7,滞销
好吃点,11,正常
好吃点小饼干,35,正常
威化饼干,2,滞销
娃哈哈红枣酸奶,1,滞销
安慕希酸奶,11,正常
小糖衣血糖仪,3,滞销
小糖衣血糖试纸,1,滞销
小茗同学,2,滞销
小茗同学冷泡茶（乳酸菌味）,1,滞销
小茗同学（青柠红茶）,1,滞销
小鱼仔,146,热销
尖叫,14,正常
巧克力奶油味蛋糕,1,滞销
康师傅拉面(袋),1,滞销
康师傅矿泉水,17,正常
怡宝,38,正常
怡宝矿泉水,3,滞销
怡宝纯净水,1342,热销
手撕素肉排,20,正常
拿铁咖啡（统一）,1,滞销
新麦潮北海道吐司,1,滞销
新麦潮天然酵母面包（牛奶风味）,4,滞销
新麦潮手撕面包（提子味）,1,滞销
无穷农场盐_鸡蛋,11,正常
无穷烤鸡小腿,1,滞销
无穷烤鸡小腿（蜂蜜）,19,正常
日式鱼果,1,滞销
旺仔牛奶,6,滞销
旺仔牛奶145ml,4,滞销
果粒橙,245,热销
椰树牌椰汁,17,正常
每日特惠,1,滞销
汤达人桶面,1,滞销
泰奇八宝粥,10,正常
湘潭铺子(羽泉版),15,正常
熊字饼,112,热销
燕塘原味酸奶,3,滞销
燕塘甜牛奶,11,正常
燕塘红枣牛奶,7,滞销
王老吉（500ml）,310,热销
王老吉（罐）,201,热销
珠江纯生啤酒,4,滞销
百事可乐330ml,4,滞销
百事可乐500ml,100,正常
益力多100g*5瓶,8,滞销
盼盼手撕面包,2,滞销
立体声耳机（象牙白）,1,滞销
红牛,188,热销
经典奶茶,12,正常
统一冰红茶,334,热销
统一来一桶香辣老坛酸菜牛肉面,4,滞销
统一绿茶,209,热销
统一阿萨姆奶茶,6,滞销
维他原味豆奶,16,正常
维他奶,57,正常
维他奶（巧克力味）,4,滞销
维他柠檬茶,78,正常
维他柠檬茶330ml（罐）,3,滞销
美年达（罐）,8,滞销
美汁源果粒橙,10,正常
脉动,431,热销
脉动（椰子菠萝口味）,1,滞销
脉动（青柠）,8,滞销
芙蓉王,41,正常
芦荟汁,5,滞销
芬达330ml,198,热销
茉莉蜜茶,33,正常
营养快线,425,热销
诗竹竹纤维面巾纸,12,正常
越南LIPO奶味面包干100g,2,滞销
迷你纸巾,8,滞销
银鹭八宝粥,108,热销
阿萨姆奶茶,457,热销
阿萨姆煎茶奶绿,19,正常
雀巢咖啡,31,正常
雪力矿泉水,7,滞销
雪碧,3,滞销
雪碧330ml,103,热销
雪碧最新款,117,热销
雪碧（500ml）,114,热销
韩国海牌海苔,6,滞销
顺宝九制梅,2,滞销
香脆肠,63,正常
香豆干,194,热销
鸡爪,11,正常
鸭翅,204,热销
