商品,销量,标签
100g*5瓶益力多,26,正常
100g卫龙点心面黑椒牛排味,2,滞销
100g果王咸柑桔罐装,7,滞销
100g越南LIPO奶味面包干,1,滞销
103g康师傅红烧牛肉面,9,滞销
107g出前一丁桶面酱香牛肉王,2,滞销
10g卫龙亲嘴烧香辣味,14,正常
10g越南LIPO奶味面包干,1,滞销
10g越南LIPO奶味面包干0015,2,滞销
110g顺宝九制话梅,32,正常
117gUFO炒面铁板色拉鱿鱼风味,5,滞销
123gUFO炒面XO酱海鲜风味,7,滞销
12g劲仔小鱼卤香味,13,正常
12g劲仔小鱼麻辣味,93,正常
12g劲仔小鱼（香辣味）,3,滞销
130g果王玉带蚕豆,11,正常
13g无穷烤鸡小腿蜂蜜味,142,热销
13g雀巢咖啡1+2特浓,3,滞销
145g果王迷你山楂包装,10,正常
145ml旺仔牛奶盒装,120,热销
145ml旺仔牛奶罐装,9,滞销
148g富甲一方紫薯仔,23,正常
150g健能酸奶原味,24,正常
150g洽洽原香瓜子,8,滞销
150抽诗竹竹纤维面巾纸,14,正常
160g盼盼手撕面包,38,正常
180g统一满汉全席台式半筋半肉牛肉面,14,正常
180ml雀巢咖啡罐装,15,正常
188g澳门永辉鸡仔饼,17,正常
205g伊利安慕希原味,33,正常
205ml安慕希蓝莓味,3,滞销
20g咩咩世界虾味条,4,滞销
20g咪咪虾条马来西亚风味,178,热销
20g洽洽每日坚果,1,滞销
20g马来西亚风味咪咪蟹味粒0219,42,正常
220g宝丰龙龟苓膏,4,滞销
225g味之不规则饼干芝士味,28,正常
250ML东鹏特饮,16,正常
250ml燕塘原味酸奶,86,正常
250ml燕塘甜牛奶,112,热销
250ml燕塘红枣牛奶,81,正常
250ml王老吉盒装,17,正常
250ml红牛,69,正常
250ml统一麦香奶茶,15,正常
250ml维他原味豆奶,120,热销
250ml维他奶低糖原味,21,正常
250ml维他奶巧克力味,48,正常
250ml维他奶黑豆奶饮品,3,滞销
250ml维他柠檬茶,183,热销
250ml维他椰子味豆奶7716,10,正常
250ml维他椰子植物蛋白饮料,11,正常
250ml维他椰子植物蛋白饮料9374,1,滞销
250ml香满楼纯牛奶,3,滞销
260g马来西亚进口茱蒂丝口口香饼干,26,正常
268ml雀巢咖啡丝滑拿铁,80,正常
2g韩国海牌海苔,63,正常
30g元朗小蛋卷,26,正常
30g无穷农场盐_鸡蛋,184,热销
32g卫龙亲嘴烧,116,热销
32g卫龙亲嘴烧川香味,5,滞销
32g卫龙亲嘴烧红烧牛肉味,34,正常
330ml伊利畅意乳酸菌原味,53,正常
330ml伊利畅意乳酸菌草莓味,2,滞销
34g公仔迷你杯牛肉味,10,正常
34g公仔迷你杯风味排骨味,4,滞销
37.5g费列罗榛果威化巧克力3颗,35,正常
370g泰奇八宝粥,14,正常
40g上好佳日式鱼果,20,正常
40g上好佳田园薯片,2,滞销
40g上好佳田园薯片番茄味,3,滞销
40g乐事美国经典原味,28,正常
40g乐事薯片墨西哥鸡汁番茄味,10,正常
40g乐事薯片黄瓜味,24,正常
40g卫龙点心面黑椒牛排味,4,滞销
40g双汇玉米热狗肠,151,热销
40g呀土豆番茄酱味,12,正常
40g呀土豆薯片滋香烤鸡味,14,正常
40g盼盼手撕面包,3,滞销
430g泰奇八宝粥,55,正常
450ml美汁源果粒橙,46,正常
45g双汇泡面拍挡,26,正常
480ml小茗同学冷泡溜溜哒茶,3,滞销
480ml小茗同学冷泡青柠红茶,27,正常
48g好丽友薯愿香烤原味,10,正常
500ML宝矿力,4,滞销
500ml农夫果园 (芒果+菠萝+番石榴),29,正常
500ml加多宝,46,正常
500ml康师傅冰糖雪梨,22,正常
500ml恒大冰泉矿泉水,2,滞销
500ml统一冰糖雪梨,3,滞销
500ml统一阿萨姆奶茶,73,正常
500ml营养快线原味,4,滞销
50g上好佳日式鱼果,19,正常
50g上好佳田园薯片番茄味,21,正常
50g双层百力滋奶咖味,7,滞销
50g双层百力滋特浓番茄味,6,滞销
50g马赛克手撕鱿鱼条,8,滞销
52g旺旺仙贝,47,正常
55g奥利奥原味夹心饼干,27,正常
55g奥利奥原味芝士饼干,51,正常
55g奥利奥迷你杯夹心小饼干杯装原味,5,滞销
58g丽芝士纳宝帝奶酪威化饼干,55,正常
5片装益达绿箭口香糖,10,正常
600ml可口可乐,50,正常
600ml脉动青柠,37,正常
600ml雪碧,63,正常
65g卫龙亲嘴豆皮,23,正常
68g多力多玉米片爆香热辣味,3,滞销
68g好丽友巧克力派2枚,22,正常
68g好丽友蛋黄派2枚,13,正常
70g乐事薯片原味,11,正常
70g乐事薯片黄瓜味,11,正常
70g乐事薯片（原味）,3,滞销
70g乐事薯片（黄瓜味）,11,正常
70g乖媳妇野山泡椒凤爪,42,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,48,正常
75g达利园柠檬蛋糕,1,滞销
78g卫龙亲嘴语辣条,42,正常
78g卫龙亲语,1,滞销
78g合味道杯面香菇炖鸡风味,4,滞销
80g四洲粟一烧烧烤味,16,正常
80g盼盼手撕面包,2,滞销
80g香飘飘椰果奶茶原味,13,正常
80g香飘飘椰果奶茶麦香味,16,正常
80g马赛克香蕉片,5,滞销
83g汤达人酸辣豚骨拉面,6,滞销
85g嘉士利果乐果香夹心饼干蓝莓味,47,正常
85g新麦潮北海道吐司,113,热销
85g新麦潮手撕面包（提子味）,100,正常
85g统一老坛酸菜牛肉面,81,正常
86g合味道浓猪骨味,12,正常
86g合味道海鲜风味,81,正常
91g徐福记凤梨酥,34,正常
上好佳田园薯片,9,滞销
东鹏特饮,328,热销
丽芝士纳宝帝奶酪威化饼干,27,正常
乐事薯片（青柠）,2,滞销
乐事薯片（黄瓜味）,18,正常
乐虎,29,正常
乐虎（380ml）,4,滞销
乖媳妇野山椒风爪,3,滞销
伊利优酸乳,258,热销
伊利纯牛奶,64,正常
优益C活菌型乳酸菌饮品,2,滞销
健能酸奶,1,滞销
农夫果园,5,滞销
冰糖雪梨,59,正常
冰红茶（罐）,8,滞销
凤爪,19,正常
利群（硬）,1,滞销
加多宝,8,滞销
劲仔小鱼,1,滞销
劲仔小鱼（卤香味）,12,正常
劲仔小鱼（香辣味）,1,滞销
劲仔小鱼（麻辣味）,19,正常
卫龙亲嘴烧红烧牛肉味,9,滞销
卫龙亲嘴烧麦辣鸡汁味,3,滞销
卫龙大面筋,219,热销
印尼芝士威化饼干,39,正常
双汇玉米热狗肠,28,正常
口味王槟榔（红）,43,正常
口味王槟榔（绿色）,3,滞销
口味王槟榔（绿）,71,正常
可乐可乐,23,正常
可口可乐330ml,219,热销
可口可乐330ml（罐）,3,滞销
可口可乐最新款,116,热销
可口可乐（500ml）,60,正常
合味道（浓猪骨）,1,滞销
合味道（海鲜风味）,27,正常
味之不规则饼干（番茄味）,1,滞销
味之不规则饼干（芝士味）,15,正常
和成天下（红）,1,滞销
和成天下（黄）,8,滞销
咪咪,2,滞销
咪咪虾条马来西亚风味,74,正常
商品14,1,滞销
商品2,3,滞销
商品21,1,滞销
商品36,1,滞销
四洲粟一烧烧烤味,4,滞销
多力多滋（热辣味）,2,滞销
多芙利香草奶油味蛋糕,1,滞销
天地一号,3,滞销
奥利奥原味芝士,18,正常
好吃点,19,正常
好吃点小饼干,37,正常
娃哈哈红枣酸奶,2,滞销
安慕希酸奶,3,滞销
小糖衣血糖仪,5,滞销
小茗同学,12,正常
小茗同学冷泡茶（乳酸菌味）,5,滞销
小茗同学（青柠红茶）,2,滞销
小鱼仔,116,热销
尖叫,22,正常
康师傅矿泉水,24,正常
怡宝,182,热销
怡宝矿泉水,7,滞销
怡宝纯净水,999,热销
手撕素肉排,19,正常
拿铁咖啡（统一）,2,滞销
新麦潮北海道吐司,2,滞销
新麦潮天然酵母面包（牛奶风味）,7,滞销
新麦潮天然酵母面包（良品铺子）,2,滞销
无穷农场盐_鸡蛋,39,正常
无穷烤鸡小腿（蜂蜜）,13,正常
日式鱼果,26,正常
旺仔牛奶,10,正常
旺仔牛奶145ml,14,正常
果粒橙,328,热销
椰树牌椰汁,24,正常
汤达人方便面,2,滞销
泰奇八宝粥,18,正常
湘潭铺子(羽泉版),14,正常
熊字饼,90,正常
燕塘原味酸奶,29,正常
燕塘甜牛奶,18,正常
燕塘红枣牛奶,12,正常
王老吉（500ml）,238,热销
王老吉（罐）,402,热销
