商品,销量,标签
100g*5瓶益力多,22,正常
100g卫龙点心面黑椒牛排味,3,滞销
100g果王咸柑桔罐装,9,滞销
103g康师傅红烧牛肉面,15,正常
107g出前一丁桶面酱香牛肉王,3,滞销
10g卫龙亲嘴烧香辣味,51,正常
10g越南LIPO奶味面包干0046,1,滞销
110g顺宝九制话梅,11,正常
117gUFO炒面铁板色拉鱿鱼风味,3,滞销
123gUFO炒面XO酱海鲜风味,3,滞销
12g劲仔小鱼卤香味,11,正常
12g劲仔小鱼麻辣味,50,正常
13g无穷烤鸡小腿蜂蜜味,102,热销
145g果王迷你山楂包装,7,滞销
145ml旺仔牛奶盒装,73,正常
145ml旺仔牛奶罐装,1,滞销
148g富甲一方紫薯仔,24,正常
150g健能酸奶原味,26,正常
150g洽洽原香瓜子,11,正常
150抽诗竹竹纤维面巾纸,3,滞销
160g盼盼手撕面包,17,正常
180g统一满汉全席台式半筋半肉牛肉面,5,滞销
180ml雀巢咖啡罐装,22,正常
205g伊利安慕希原味,29,正常
205ml安慕希蓝莓味,2,滞销
20g咪咪虾条马来西亚风味,117,热销
20g马来西亚风味咪咪蟹味粒0219,32,正常
220g宝丰龙龟苓膏,13,正常
225g味之不规则饼干芝士味,9,滞销
250ML东鹏特饮,22,正常
250ml燕塘原味酸奶,62,正常
250ml燕塘甜牛奶,74,正常
250ml燕塘红枣牛奶,53,正常
250ml王老吉盒装,9,滞销
250ml红牛,37,正常
250ml统一麦香奶茶,1,滞销
250ml维他原味豆奶,79,正常
250ml维他奶低糖原味,9,滞销
250ml维他奶巧克力味,22,正常
250ml维他奶黑豆奶饮品,3,滞销
250ml维他柠檬茶,73,正常
250ml维他椰子味豆奶7716,2,滞销
250ml维他椰子植物蛋白饮料,2,滞销
250ml维他椰子植物蛋白饮料9374,1,滞销
260g马来西亚进口茱蒂丝口口香饼干,5,滞销
268ml雀巢咖啡丝滑拿铁,45,正常
2g韩国海牌海苔,41,正常
30g元朗小蛋卷,8,滞销
30g无穷农场盐_鸡蛋,149,热销
32g卫龙亲嘴烧,80,正常
32g卫龙亲嘴烧川香味,3,滞销
32g卫龙亲嘴烧红烧牛肉味,30,正常
330ml伊利畅意乳酸菌原味,33,正常
34g公仔迷你杯牛肉味,3,滞销
34g公仔迷你杯风味排骨味,1,滞销
37.5g费列罗榛果威化巧克力3颗,9,滞销
370g泰奇八宝粥,15,正常
40g上好佳日式鱼果,6,滞销
40g乐事美国经典原味,23,正常
40g乐事薯片墨西哥鸡汁番茄味,1,滞销
40g乐事薯片黄瓜味,19,正常
40g卫龙点心面黑椒牛排味,1,滞销
40g双汇玉米热狗肠,147,热销
40g呀土豆番茄酱味,14,正常
40g呀土豆薯片滋香烤鸡味,13,正常
430g泰奇八宝粥,50,正常
450ml美汁源果粒橙,20,正常
45g双汇泡面拍挡,37,正常
480ml小茗同学冷泡溜溜哒茶,5,滞销
480ml小茗同学冷泡青柠红茶,32,正常
48g好丽友薯愿香烤原味,6,滞销
500ml农夫果园 (芒果+菠萝+番石榴),10,正常
500ml加多宝,20,正常
500ml康师傅冰糖雪梨,3,滞销
500ml恒大冰泉矿泉水,1,滞销
500ml统一冰糖雪梨,2,滞销
500ml统一阿萨姆奶茶,28,正常
500ml营养快线原味,2,滞销
50g上好佳日式鱼果,5,滞销
50g上好佳田园薯片番茄味,10,正常
50g双层百力滋奶咖味,1,滞销
50g马赛克手撕鱿鱼条,3,滞销
52g旺旺仙贝,36,正常
55g奥利奥原味夹心饼干,11,正常
55g奥利奥原味芝士饼干,46,正常
55g奥利奥迷你杯夹心小饼干杯装原味,5,滞销
58g丽芝士纳宝帝奶酪威化饼干,20,正常
5片装益达绿箭口香糖,3,滞销
600ml可口可乐,54,正常
600ml脉动青柠,28,正常
600ml雪碧,14,正常
65g卫龙亲嘴豆皮,23,正常
68g好丽友巧克力派2枚,20,正常
68g好丽友蛋黄派2枚,7,滞销
70g乐事薯片原味,6,滞销
70g乐事薯片青柠味,1,滞销
70g乐事薯片黄瓜味,10,正常
70g乐事薯片（原味）,2,滞销
70g乐事薯片（黄瓜味）,9,滞销
70g乖媳妇野山泡椒凤爪,22,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,16,正常
78g卫龙亲嘴语辣条,40,正常
78g卫龙亲语,15,正常
78g合味道杯面香菇炖鸡风味,4,滞销
80g四洲粟一烧烧烤味,6,滞销
80g香飘飘椰果奶茶原味,8,滞销
80g香飘飘椰果奶茶麦香味,15,正常
80g马赛克香蕉片,6,滞销
83g汤达人酸辣豚骨拉面,4,滞销
85g嘉士利果乐果香夹心饼干蓝莓味,42,正常
85g新麦潮北海道吐司,66,正常
85g新麦潮手撕面包（提子味）,52,正常
85g统一老坛酸菜牛肉面,78,正常
86g合味道浓猪骨味,10,正常
86g合味道海鲜风味,46,正常
91g徐福记凤梨酥,21,正常
上好佳洋葱圈,1,滞销
上好佳田园薯片,2,滞销
东鹏特饮,401,热销
丽芝士纳宝帝奶酪威化饼干,6,滞销
乐虎,1,滞销
