商品,销量,标签
100g*5瓶益力多,53,正常
100g卫龙点心面黑椒牛排味,9,滞销
100g果王咸柑桔罐装,14,正常
103g康师傅红烧牛肉面,17,正常
107g出前一丁桶面酱香牛肉王,12,正常
10g卫龙亲嘴烧香辣味,65,正常
10g越南LIPO奶味面包干,3,滞销
10g越南LIPO奶味面包干0015,2,滞销
10g越南LIPO奶味面包干0046,1,滞销
110g顺宝九制话梅,58,正常
117gUFO炒面铁板色拉鱿鱼风味,24,正常
123gUFO炒面XO酱海鲜风味,2,滞销
12g劲仔小鱼卤香味,14,正常
12g劲仔小鱼麻辣味,173,热销
12g劲仔小鱼（香辣味）,2,滞销
130g果王玉带蚕豆,11,正常
13g无穷烤鸡小腿蜂蜜味,199,热销
13g雀巢咖啡1+2特浓,4,滞销
145g果王迷你山楂包装,14,正常
145ml旺仔牛奶盒装,214,热销
145ml旺仔牛奶罐装,16,正常
148g富甲一方紫薯仔,66,正常
14g德芙巧克力,1,滞销
150g健能酸奶原味,37,正常
150g洽洽原香瓜子,18,正常
150抽诗竹竹纤维面巾纸,15,正常
160g盼盼手撕面包,50,正常
180g统一满汉全席台式半筋半肉牛肉面,15,正常
180ml雀巢咖啡罐装,21,正常
188g澳门永辉鸡仔饼,8,滞销
205g伊利安慕希原味,63,正常
205ml安慕希蓝莓味,10,正常
20g咩咩世界虾味条,3,滞销
20g咪咪虾条马来西亚风味,253,热销
20g士力架,2,滞销
20g马来西亚风味咪咪蟹味粒0219,27,正常
220g宝丰龙龟苓膏,33,正常
220g宝丰龙龟苓膏绿豆味,5,滞销
225g味之不规则饼干芝士味,47,正常
250ML东鹏特饮,45,正常
250ml燕塘原味酸奶,158,热销
250ml燕塘甜牛奶,219,热销
250ml燕塘红枣牛奶,128,热销
250ml王老吉盒装,17,正常
250ml红牛,102,热销
250ml统一麦香奶茶,40,正常
250ml维他原味豆奶,188,热销
250ml维他奶低糖原味,50,正常
250ml维他奶巧克力味,127,热销
250ml维他奶黑豆奶饮品,4,滞销
250ml维他柠檬茶,230,热销
250ml维他椰子味豆奶7716,3,滞销
250ml维他椰子植物蛋白饮料,12,正常
250ml维他椰子植物蛋白饮料9374,2,滞销
260g马来西亚进口茱蒂丝口口香饼干,30,正常
268ml雀巢咖啡丝滑拿铁,164,热销
2g韩国海牌海苔,90,正常
30g元朗小蛋卷,42,正常
30g无穷农场盐_鸡蛋,206,热销
32g卫龙亲嘴烧,143,热销
32g卫龙亲嘴烧川香味,11,正常
32g卫龙亲嘴烧红烧牛肉味,96,正常
330ml伊利畅意乳酸菌原味,138,热销
330ml伊利畅意乳酸菌草莓味,2,滞销
340ml蒙牛优益C乳酸菌,2,滞销
34g公仔迷你杯牛肉味,19,正常
34g公仔迷你杯风味排骨味,7,滞销
37.5g费列罗榛果威化巧克力3颗,31,正常
370g泰奇八宝粥,10,正常
40g上好佳日式鱼果,27,正常
40g上好佳田园薯片番茄味,6,滞销
40g乐事美国经典原味,28,正常
40g乐事薯片墨西哥鸡汁番茄味,22,正常
40g乐事薯片黄瓜味,39,正常
40g卫龙点心面黑椒牛排味,12,正常
40g双汇玉米热狗肠,407,热销
40g呀土豆番茄酱味,28,正常
40g呀土豆薯片滋香烤鸡味,27,正常
40g盼盼手撕面包,1,滞销
430g泰奇八宝粥,85,正常
450ml美汁源果粒橙,86,正常
45g双汇泡面拍挡,66,正常
480ml小茗同学冷泡溜溜哒茶,14,正常
480ml小茗同学冷泡青柠红茶,70,正常
48g好丽友薯愿香烤原味,19,正常
500ML宝矿力,6,滞销
500ml农夫果园 (芒果+菠萝+番石榴),59,正常
500ml加多宝,113,热销
500ml康师傅冰糖雪梨,19,正常
500ml恒大冰泉矿泉水,9,滞销
500ml统一冰糖雪梨,3,滞销
500ml统一阿萨姆奶茶,153,热销
500ml营养快线原味,9,滞销
50g上好佳日式鱼果,20,正常
50g上好佳田园薯片番茄味,32,正常
50g双层百力滋奶咖味,8,滞销
50g双层百力滋特浓番茄味,8,滞销
50g马赛克手撕鱿鱼条,22,正常
52g旺旺仙贝,59,正常
55g奥利奥原味夹心饼干,24,正常
55g奥利奥原味芝士饼干,90,正常
55g奥利奥迷你杯夹心小饼干杯装原味,8,滞销
