商品,销量,标签,标签1,标签2
100g*5瓶益力多,34,正常,乳制品,益力多
100g卫龙点心面黑椒牛排味,5,滞销,豆制品,卫龙点心面黑椒牛排味
100g果王咸柑桔罐装,17,正常,果干,果王咸柑桔罐装
100g越南LIPO奶味面包干,1,滞销,饼干糕点,越南奶味面包干
103g康师傅红烧牛肉面,15,正常,方便速食,康师傅红烧牛肉面
107g出前一丁桶面酱香牛肉王,12,正常,方便速食,出前一丁桶面酱香牛肉王
10g卫龙亲嘴烧香辣味,24,正常,豆制品,卫龙亲嘴烧香辣味
10g越南LIPO奶味面包干,5,滞销,饼干糕点,越南奶味面包干
10g越南LIPO奶味面包干0015,4,滞销,饼干糕点,越南奶味面包干
10g越南LIPO奶味面包干0046,2,滞销,饼干糕点,越南奶味面包干
110g顺宝九制话梅,39,正常,蜜饯,顺宝九制话梅
117gUFO炒面铁板色拉鱿鱼风味,5,滞销,方便速食,炒面铁板色拉鱿鱼风味
120g达利园蔓越莓提子面包,1,滞销,饼干糕点,达利园蔓越莓提子面包
123gUFO炒面XO酱海鲜风味,2,滞销,方便速食,炒面酱海鲜风味
12g劲仔小鱼卤香味,18,正常,肉干,劲仔小鱼卤香味
12g劲仔小鱼麻辣味,92,正常,肉干,劲仔小鱼麻辣味
130g果王玉带蚕豆,5,滞销,坚果炒货,果王玉带蚕豆
13g无穷烤鸡小腿蜂蜜味,186,热销,肉干,无穷烤鸡小腿蜂蜜味
13g雀巢咖啡1+2特浓,4,滞销,咖啡,雀巢咖啡特浓
145g果王迷你山楂包装,4,滞销,果干,果王迷你山楂包装
145ml旺仔牛奶盒装,121,热销,乳制品,旺仔牛奶盒装
145ml旺仔牛奶罐装,2,滞销,乳制品,旺仔牛奶罐装
148g富甲一方紫薯仔,35,正常,果干,富甲一方紫薯仔
14g德芙巧克力,2,滞销,巧克力,德芙巧克力
150g健能酸奶原味,20,正常,乳制品,健能酸奶原味
150g洽洽原香瓜子,10,正常,坚果炒货,洽洽原香瓜子
150抽诗竹竹纤维面巾纸,7,滞销,纸巾,抽诗竹竹纤维面巾纸
160g盼盼手撕面包,26,正常,饼干糕点,盼盼手撕面包
180g统一满汉全席台式半筋半肉牛肉面,6,滞销,方便速食,统一满汉全席台式半筋半肉牛肉面
180ml雀巢咖啡罐装,16,正常,咖啡,雀巢咖啡罐装
182g徐福记凤梨酥,1,滞销,饼干糕点,徐福记凤梨酥
188g澳门永辉鸡仔饼,3,滞销,饼干糕点,澳门永辉鸡仔饼
205g伊利安慕希原味,42,正常,乳制品,伊利安慕希原味
205ml安慕希蓝莓味,7,滞销,乳制品,安慕希蓝莓味
20g咩咩世界虾味条,3,滞销,膨化食品,咩咩世界虾味条
20g咪咪虾条马来西亚风味,156,热销,膨化食品,咪咪虾条马来西亚风味
20g士力架,5,滞销,巧克力,士力架
20g洽洽每日坚果,1,滞销,坚果炒货,洽洽每日坚果
20g马来西亚风味咪咪蟹味粒0219,19,正常,膨化食品,马来西亚风味咪咪蟹味粒
220g宝丰龙龟苓膏,2,滞销,龟苓膏,宝丰龙龟苓膏
220g宝丰龙龟苓膏菊花味,2,滞销,龟苓膏,宝丰龙龟苓膏菊花味
225g味之不规则饼干芝士味,20,正常,饼干糕点,味之不规则饼干芝士味
250ML东鹏特饮,15,正常,功能饮料,东鹏特饮
250ml燕塘原味酸奶,89,正常,乳制品,燕塘原味酸奶
250ml燕塘甜牛奶,118,热销,乳制品,燕塘甜牛奶
250ml燕塘红枣牛奶,110,热销,乳制品,燕塘红枣牛奶
250ml王老吉盒装,19,正常,茶饮料,王老吉盒装
250ml红牛,55,正常,功能饮料,红牛
250ml统一麦香奶茶,14,正常,茶饮料,统一麦香奶茶
250ml维他原味豆奶,125,热销,植物蛋白,维他原味豆奶
250ml维他奶低糖原味,19,正常,植物蛋白,维他奶低糖原味
250ml维他奶巧克力味,64,正常,植物蛋白,维他奶巧克力味
250ml维他奶黑豆奶饮品,9,滞销,植物蛋白,维他奶黑豆奶饮品
250ml维他柠檬茶,134,热销,茶饮料,维他柠檬茶
250ml维他椰子植物蛋白饮料,8,滞销,植物蛋白,维他椰子植物蛋白饮料
250ml维他椰子植物蛋白饮料9374,6,滞销,植物蛋白,维他椰子植物蛋白饮料
250ml香满楼纯牛奶,2,滞销,乳制品,香满楼纯牛奶
260g马来西亚进口茱蒂丝口口香饼干,8,滞销,饼干糕点,马来西亚进口茱蒂丝口口香饼干
268ml雀巢咖啡丝滑拿铁,82,正常,咖啡,雀巢咖啡丝滑拿铁
2g韩国海牌海苔,47,正常,海味零食,韩国海牌海苔
30g元朗小蛋卷,24,正常,饼干糕点,元朗小蛋卷
30g无穷农场盐_鸡蛋,186,热销,蛋,无穷农场盐鸡蛋
32g卫龙亲嘴烧,141,热销,豆制品,卫龙亲嘴烧
32g卫龙亲嘴烧川香味,8,滞销,豆制品,卫龙亲嘴烧川香味
32g卫龙亲嘴烧红烧牛肉味,73,正常,豆制品,卫龙亲嘴烧红烧牛肉味
330ml伊利畅意乳酸菌原味,61,正常,乳制品,伊利畅意乳酸菌原味
34g公仔迷你杯牛肉味,10,正常,方便速食,公仔迷你杯牛肉味
34g公仔迷你杯风味排骨味,1,滞销,方便速食,公仔迷你杯风味排骨味
37.5g费列罗榛果威化巧克力3颗,23,正常,巧克力,.费列罗榛果威化巧克力颗
370g泰奇八宝粥,22,正常,方便速食,泰奇八宝粥
40g上好佳日式鱼果,8,滞销,膨化食品,上好佳日式鱼果
40g上好佳田园薯片番茄味,4,滞销,膨化食品,上好佳田园薯片番茄味
40g乐事美国经典原味,27,正常,膨化食品,乐事美国经典原味
40g乐事薯片墨西哥鸡汁番茄味,11,正常,膨化食品,乐事薯片墨西哥鸡汁番茄味
40g乐事薯片黄瓜味,47,正常,膨化食品,乐事薯片黄瓜味
40g卫龙点心面黑椒牛排味,5,滞销,豆制品,卫龙点心面黑椒牛排味
40g双汇玉米热狗肠,178,热销,肉干,双汇玉米热狗肠
40g呀土豆番茄酱味,19,正常,膨化食品,呀土豆番茄酱味
40g呀土豆薯片滋香烤鸡味,24,正常,膨化食品,呀土豆薯片滋香烤鸡味
40g盼盼手撕面包,1,滞销,饼干糕点,盼盼手撕面包
430g泰奇八宝粥,58,正常,方便速食,泰奇八宝粥
450ml美汁源果粒橙,52,正常,果蔬饮料,美汁源果粒橙
45g双汇泡面拍挡,44,正常,肉干,双汇泡面拍挡
480ml小茗同学冷泡溜溜哒茶,2,滞销,茶饮料,小茗同学冷泡溜溜哒茶
480ml小茗同学冷泡青柠红茶,33,正常,茶饮料,小茗同学冷泡青柠红茶
48g好丽友薯愿香烤原味,26,正常,膨化食品,好丽友薯愿香烤原味
500ML宝矿力,4,滞销,功能饮料,宝矿力
500ml农夫果园 (芒果+菠萝+番石榴),26,正常,果蔬饮料,农夫果园 芒果菠萝番石榴
500ml加多宝,39,正常,茶饮料,加多宝
500ml康师傅冰糖雪梨,4,滞销,果蔬饮料,康师傅冰糖雪梨
500ml恒大冰泉矿泉水,3,滞销,水,恒大冰泉矿泉水
500ml统一冰糖雪梨,2,滞销,果蔬饮料,统一冰糖雪梨
500ml统一阿萨姆奶茶,56,正常,茶饮料,统一阿萨姆奶茶
500ml营养快线原味,6,滞销,乳制品,营养快线原味
50g上好佳日式鱼果,27,正常,膨化食品,上好佳日式鱼果
50g上好佳田园薯片番茄味,18,正常,膨化食品,上好佳田园薯片番茄味
50g双层百力滋奶咖味,5,滞销,饼干糕点,双层百力滋奶咖味
50g双层百力滋特浓番茄味,9,滞销,饼干糕点,双层百力滋特浓番茄味
50g马赛克手撕鱿鱼条,19,正常,海味零食,马赛克手撕鱿鱼条
52g旺旺仙贝,45,正常,膨化食品,旺旺仙贝
55g奥利奥原味夹心饼干,13,正常,饼干糕点,奥利奥原味夹心饼干
55g奥利奥原味芝士饼干,48,正常,饼干糕点,奥利奥原味芝士饼干
55g奥利奥迷你杯夹心小饼干杯装原味,7,滞销,饼干糕点,奥利奥迷你杯夹心小饼干杯装原味
56g益达无糖口香糖,2,滞销,糖果,益达无糖口香糖
58.5g钙芝奶酪味高钙威化饼干,2,滞销,饼干糕点,.钙芝奶酪味高钙威化饼干
58g丽芝士纳宝帝奶酪威化饼干,41,正常,饼干糕点,丽芝士纳宝帝奶酪威化饼干
5片装益达绿箭口香糖,10,正常,糖果,片装益达绿箭口香糖
600ml可口可乐,34,正常,碳酸饮料,可口可乐
600ml脉动青柠,45,正常,功能饮料,脉动青柠
600ml雪碧,38,正常,碳酸饮料,雪碧
60g湖湘贡手撕鸭脖原味,1,滞销,肉干,湖湘贡手撕鸭脖原味
65g卫龙亲嘴豆皮,26,正常,豆制品,卫龙亲嘴豆皮
65g格力高百力滋饼干巧克力味,1,滞销,饼干糕点,格力高百力滋饼干巧克力味
68g多力多玉米片爆香热辣味,7,滞销,膨化食品,多力多玉米片爆香热辣味
68g好丽友巧克力派2枚,23,正常,饼干糕点,好丽友巧克力派枚
68g好丽友蛋黄派2枚,13,正常,饼干糕点,好丽友蛋黄派枚
70g乐事薯片原味,9,滞销,膨化食品,乐事薯片原味
70g乐事薯片青柠味,1,滞销,膨化食品,乐事薯片青柠味
70g乐事薯片黄瓜味,18,正常,膨化食品,乐事薯片黄瓜味
70g乐事薯片（原味）,6,滞销,膨化食品,乐事薯片原味
70g乐事薯片（黄瓜味）,10,正常,膨化食品,乐事薯片黄瓜味
70g乖媳妇野山泡椒凤爪,62,正常,肉干,乖媳妇野山泡椒凤爪
75g新麦潮天然酵母面包（北海道牛奶风味）,45,正常,饼干糕点,新麦潮天然酵母面包北海道牛奶风味
78g卫龙亲嘴语辣条,62,正常,豆制品,卫龙亲嘴语辣条
78g卫龙亲语,1,滞销,豆制品,卫龙亲语
78g合味道杯面香菇炖鸡风味,3,滞销,方便速食,合味道杯面香菇炖鸡风味
80g四洲粟一烧烧烤味,28,正常,膨化食品,四洲粟一烧烧烤味
80g粤光宝盒芒果干,1,滞销,果干,粤光宝盒芒果干
80g香飘飘椰果奶茶原味,11,正常,茶饮料,香飘飘椰果奶茶原味
80g香飘飘椰果奶茶麦香味,11,正常,茶饮料,香飘飘椰果奶茶麦香味
80g马赛克香蕉片,16,正常,果干,马赛克香蕉片
83g汤达人酸辣豚骨拉面,3,滞销,方便速食,汤达人酸辣豚骨拉面
85g嘉士利果乐果香夹心饼干蓝莓味,40,正常,饼干糕点,嘉士利果乐果香夹心饼干蓝莓味
85g新麦潮北海道吐司,95,正常,饼干糕点,新麦潮北海道吐司
85g新麦潮手撕面包（提子味）,77,正常,饼干糕点,新麦潮手撕面包提子味
85g统一老坛酸菜牛肉面,81,正常,方便速食,统一老坛酸菜牛肉面
86g合味道浓猪骨味,14,正常,方便速食,合味道浓猪骨味
86g合味道海鲜风味,95,正常,方便速食,合味道海鲜风味
91g徐福记凤梨酥,36,正常,饼干糕点,徐福记凤梨酥
上好佳田园薯片,6,滞销,膨化食品,上好佳田园薯片
东鹏特饮,417,热销,功能饮料,东鹏特饮
丽芝士纳宝帝奶酪威化饼干,7,滞销,饼干糕点,丽芝士纳宝帝奶酪威化饼干
乐事薯片（青柠）,2,滞销,膨化食品,乐事薯片青柠
乐事薯片（黄瓜味）,1,滞销,膨化食品,乐事薯片黄瓜味
乐虎,8,滞销,功能饮料,乐虎
乐虎（380ml）,5,滞销,功能饮料,乐虎
伊利优酸乳,143,热销,乳制品,伊利优酸乳
伊利纯牛奶,45,正常,乳制品,伊利纯牛奶
优益C活菌型乳酸菌饮品,14,正常,乳制品,优益活菌型乳酸菌饮品
健能酸奶,1,滞销,乳制品,健能酸奶
农夫果园,8,滞销,果蔬饮料,农夫果园
冰糖雪梨,39,正常,果蔬饮料,冰糖雪梨
冰红茶（罐）,6,滞销,茶饮料,冰红茶罐
凤爪,8,滞销,肉干,凤爪
加多宝,3,滞销,茶饮料,加多宝
劲仔小鱼,9,滞销,肉干,劲仔小鱼
劲仔小鱼（卤香味）,10,正常,肉干,劲仔小鱼卤香味
劲仔小鱼（酱汁味）,2,滞销,肉干,劲仔小鱼酱汁味
劲仔小鱼（香辣味）,2,滞销,肉干,劲仔小鱼香辣味
劲仔小鱼（麻辣味）,7,滞销,肉干,劲仔小鱼麻辣味
卫龙亲嘴烧红烧牛肉味,44,正常,豆制品,卫龙亲嘴烧红烧牛肉味
卫龙亲嘴烧麦辣鸡汁味,14,正常,豆制品,卫龙亲嘴烧麦辣鸡汁味
卫龙大面筋,146,热销,豆制品,卫龙大面筋
印尼芝士威化饼干,25,正常,饼干糕点,印尼芝士威化饼干
双汇玉米热狗肠,16,正常,肉干,双汇玉米热狗肠
口味王槟榔（红）,23,正常,果干,口味王槟榔红
口味王槟榔（绿色）,2,滞销,果干,口味王槟榔绿色
口味王槟榔（绿）,60,正常,果干,口味王槟榔绿
可乐可乐,10,正常,碳酸饮料,可乐可乐
可口可乐330ml,54,正常,碳酸饮料,可口可乐
可口可乐330ml（罐）,5,滞销,碳酸饮料,可口可乐罐
可口可乐最新款,46,正常,碳酸饮料,可口可乐最新款
可口可乐（500ml）,101,热销,碳酸饮料,可口可乐
合味道（浓猪骨）,5,滞销,方便速食,合味道浓猪骨
合味道（海鲜风味）,3,滞销,方便速食,合味道海鲜风味
味之不规则饼干（芝士味）,1,滞销,饼干糕点,味之不规则饼干芝士味
和成天下（黄）,1,滞销,香烟,和成天下黄
咪咪,8,滞销,膨化食品,咪咪
咪咪虾条马来西亚风味,36,正常,膨化食品,咪咪虾条马来西亚风味
商品1,2,滞销,其他,商品
商品2,4,滞销,其他,商品
四洲粟一烧烧烤味,8,滞销,膨化食品,四洲粟一烧烧烤味
多力多滋（热辣味）,1,滞销,膨化食品,多力多滋热辣味
多芙利香草奶油味蛋糕,6,滞销,饼干糕点,多芙利香草奶油味蛋糕
天地一号,4,滞销,果蔬饮料,天地一号
奥利奥原味芝士,6,滞销,饼干糕点,奥利奥原味芝士
好吃点,14,正常,饼干糕点,好吃点
好吃点小饼干,23,正常,饼干糕点,好吃点小饼干
威化饼干,4,滞销,饼干糕点,威化饼干
娃哈哈红枣酸奶,2,滞销,乳制品,娃哈哈红枣酸奶
安慕希酸奶,2,滞销,乳制品,安慕希酸奶
小糖衣血糖仪,18,正常,其他,小糖衣血糖仪
小糖衣血糖试纸,1,滞销,其他,小糖衣血糖试纸
小茗同学,6,滞销,茶饮料,小茗同学
小鱼仔,114,热销,海味零食,小鱼仔
尖叫,19,正常,功能饮料,尖叫
巧克力奶油味蛋糕,2,滞销,饼干糕点,巧克力奶油味蛋糕
康师傅拉面(袋),1,滞销,方便速食,康师傅拉面袋
康师傅矿泉水,19,正常,水,康师傅矿泉水
怡宝,55,正常,水,怡宝
怡宝矿泉水,11,正常,水,怡宝矿泉水
怡宝纯净水,531,热销,水,怡宝纯净水
手撕素肉排,25,正常,肉干,手撕素肉排
拿铁咖啡（统一）,3,滞销,咖啡,拿铁咖啡统一
新麦潮北海道吐司,4,滞销,饼干糕点,新麦潮北海道吐司
新麦潮天然酵母面包,14,正常,饼干糕点,新麦潮天然酵母面包
新麦潮天然酵母面包（牛奶风味）,7,滞销,饼干糕点,新麦潮天然酵母面包牛奶风味
新麦潮天然酵母面包（良品铺子）,1,滞销,饼干糕点,新麦潮天然酵母面包良品铺子
新麦潮手撕面包（提子味）,3,滞销,饼干糕点,新麦潮手撕面包提子味
无穷农场盐_鸡蛋,32,正常,蛋,无穷农场盐鸡蛋
无穷烤鸡小腿（蜂蜜）,20,正常,肉干,无穷烤鸡小腿蜂蜜
日式鱼果,12,正常,膨化食品,日式鱼果
旺仔牛奶,14,正常,乳制品,旺仔牛奶
旺仔牛奶145ml,3,滞销,乳制品,旺仔牛奶
果粒橙,145,热销,果蔬饮料,果粒橙
椰树牌椰汁,14,正常,植物蛋白,椰树牌椰汁
汤达人方便面,2,滞销,方便速食,汤达人方便面
泰奇八宝粥,9,滞销,方便速食,泰奇八宝粥
湘潭铺子(羽泉版),18,正常,果干,湘潭铺子羽泉版
熊字饼,47,正常,饼干糕点,熊字饼
燕塘原味酸奶,6,滞销,乳制品,燕塘原味酸奶
燕塘甜牛奶,7,滞销,乳制品,燕塘甜牛奶
燕塘红枣牛奶,11,正常,乳制品,燕塘红枣牛奶
王老吉（500ml）,108,热销,茶饮料,王老吉
王老吉（罐）,68,正常,茶饮料,王老吉罐
珠江纯生啤酒,3,滞销,功能饮料,珠江纯生啤酒
百事可乐330ml,15,正常,碳酸饮料,百事可乐
百事可乐500ml,23,正常,碳酸饮料,百事可乐
益力多100g*5瓶,6,滞销,乳制品,益力多
盼盼手撕面包,7,滞销,饼干糕点,盼盼手撕面包
红利群（硬）,4,滞销,香烟,红利群硬
红牛,155,热销,功能饮料,红牛
经典奶茶,4,滞销,茶饮料,经典奶茶
统一冰红茶,228,热销,茶饮料,统一冰红茶
统一来一桶香辣老坛酸菜牛肉面,12,正常,方便速食,统一来一桶香辣老坛酸菜牛肉面
统一绿茶,151,热销,茶饮料,统一绿茶
统一阿萨姆奶茶,7,滞销,茶饮料,统一阿萨姆奶茶
维他原味豆奶,9,滞销,植物蛋白,维他原味豆奶
维他奶,30,正常,植物蛋白,维他奶
维他奶黑豆奶饮品,7,滞销,植物蛋白,维他奶黑豆奶饮品
维他奶（巧克力味）,3,滞销,植物蛋白,维他奶巧克力味
维他柠檬茶,56,正常,茶饮料,维他柠檬茶
