商品,销量,标签,标签1,标签2
100g*5瓶益力多,26,正常,乳制品,益力多
100g卫龙点心面黑椒牛排味,2,滞销,豆制品,卫龙点心面黑椒牛排味
100g果王咸柑桔罐装,7,滞销,果干,果王咸柑桔罐装
100g越南LIPO奶味面包干,1,滞销,饼干糕点,越南奶味面包干
103g康师傅红烧牛肉面,9,滞销,方便速食,康师傅红烧牛肉面
107g出前一丁桶面酱香牛肉王,2,滞销,方便速食,出前一丁桶面酱香牛肉王
10g卫龙亲嘴烧香辣味,14,正常,豆制品,卫龙亲嘴烧香辣味
10g越南LIPO奶味面包干,1,滞销,饼干糕点,越南奶味面包干
10g越南LIPO奶味面包干0015,2,滞销,饼干糕点,越南奶味面包干
110g顺宝九制话梅,32,正常,蜜饯,顺宝九制话梅
117gUFO炒面铁板色拉鱿鱼风味,5,滞销,方便速食,炒面铁板色拉鱿鱼风味
123gUFO炒面XO酱海鲜风味,7,滞销,方便速食,炒面酱海鲜风味
12g劲仔小鱼卤香味,13,正常,肉干,劲仔小鱼卤香味
12g劲仔小鱼麻辣味,93,正常,肉干,劲仔小鱼麻辣味
12g劲仔小鱼（香辣味）,3,滞销,肉干,劲仔小鱼香辣味
130g果王玉带蚕豆,11,正常,坚果炒货,果王玉带蚕豆
13g无穷烤鸡小腿蜂蜜味,142,热销,肉干,无穷烤鸡小腿蜂蜜味
13g雀巢咖啡1+2特浓,3,滞销,咖啡,雀巢咖啡特浓
145g果王迷你山楂包装,10,正常,果干,果王迷你山楂包装
145ml旺仔牛奶盒装,120,热销,乳制品,旺仔牛奶盒装
145ml旺仔牛奶罐装,9,滞销,乳制品,旺仔牛奶罐装
148g富甲一方紫薯仔,23,正常,果干,富甲一方紫薯仔
150g健能酸奶原味,24,正常,乳制品,健能酸奶原味
150g洽洽原香瓜子,8,滞销,坚果炒货,洽洽原香瓜子
150抽诗竹竹纤维面巾纸,14,正常,纸巾,抽诗竹竹纤维面巾纸
160g盼盼手撕面包,38,正常,饼干糕点,盼盼手撕面包
180g统一满汉全席台式半筋半肉牛肉面,14,正常,方便速食,统一满汉全席台式半筋半肉牛肉面
180ml雀巢咖啡罐装,15,正常,咖啡,雀巢咖啡罐装
188g澳门永辉鸡仔饼,17,正常,饼干糕点,澳门永辉鸡仔饼
205g伊利安慕希原味,33,正常,乳制品,伊利安慕希原味
205ml安慕希蓝莓味,3,滞销,乳制品,安慕希蓝莓味
20g咩咩世界虾味条,4,滞销,膨化食品,咩咩世界虾味条
20g咪咪虾条马来西亚风味,178,热销,膨化食品,咪咪虾条马来西亚风味
20g洽洽每日坚果,1,滞销,坚果炒货,洽洽每日坚果
20g马来西亚风味咪咪蟹味粒0219,42,正常,膨化食品,马来西亚风味咪咪蟹味粒
220g宝丰龙龟苓膏,4,滞销,龟苓膏,宝丰龙龟苓膏
225g味之不规则饼干芝士味,28,正常,饼干糕点,味之不规则饼干芝士味
250ML东鹏特饮,16,正常,功能饮料,东鹏特饮
250ml燕塘原味酸奶,86,正常,乳制品,燕塘原味酸奶
250ml燕塘甜牛奶,112,热销,乳制品,燕塘甜牛奶
250ml燕塘红枣牛奶,81,正常,乳制品,燕塘红枣牛奶
250ml王老吉盒装,17,正常,茶饮料,王老吉盒装
