商品,销量,标签,标签1,标签2
100g*5瓶益力多,22,正常,乳制品,益力多
100g卫龙点心面黑椒牛排味,3,滞销,豆制品,卫龙点心面黑椒牛排味
100g果王咸柑桔罐装,9,滞销,果干,果王咸柑桔罐装
103g康师傅红烧牛肉面,15,正常,方便速食,康师傅红烧牛肉面
107g出前一丁桶面酱香牛肉王,3,滞销,方便速食,出前一丁桶面酱香牛肉王
10g卫龙亲嘴烧香辣味,51,正常,豆制品,卫龙亲嘴烧香辣味
10g越南LIPO奶味面包干0046,1,滞销,饼干糕点,越南奶味面包干
110g顺宝九制话梅,11,正常,蜜饯,顺宝九制话梅
117gUFO炒面铁板色拉鱿鱼风味,3,滞销,方便速食,炒面铁板色拉鱿鱼风味
123gUFO炒面XO酱海鲜风味,3,滞销,方便速食,炒面酱海鲜风味
12g劲仔小鱼卤香味,11,正常,肉干,劲仔小鱼卤香味
12g劲仔小鱼麻辣味,50,正常,肉干,劲仔小鱼麻辣味
13g无穷烤鸡小腿蜂蜜味,102,热销,肉干,无穷烤鸡小腿蜂蜜味
145g果王迷你山楂包装,7,滞销,果干,果王迷你山楂包装
145ml旺仔牛奶盒装,73,正常,乳制品,旺仔牛奶盒装
145ml旺仔牛奶罐装,1,滞销,乳制品,旺仔牛奶罐装
148g富甲一方紫薯仔,24,正常,果干,富甲一方紫薯仔
150g健能酸奶原味,26,正常,乳制品,健能酸奶原味
150g洽洽原香瓜子,11,正常,坚果炒货,洽洽原香瓜子
150抽诗竹竹纤维面巾纸,3,滞销,纸巾,抽诗竹竹纤维面巾纸
160g盼盼手撕面包,17,正常,饼干糕点,盼盼手撕面包
180g统一满汉全席台式半筋半肉牛肉面,5,滞销,方便速食,统一满汉全席台式半筋半肉牛肉面
180ml雀巢咖啡罐装,22,正常,咖啡,雀巢咖啡罐装
205g伊利安慕希原味,29,正常,乳制品,伊利安慕希原味
205ml安慕希蓝莓味,2,滞销,乳制品,安慕希蓝莓味
20g咪咪虾条马来西亚风味,117,热销,膨化食品,咪咪虾条马来西亚风味
20g马来西亚风味咪咪蟹味粒0219,32,正常,膨化食品,马来西亚风味咪咪蟹味粒
220g宝丰龙龟苓膏,13,正常,龟苓膏,宝丰龙龟苓膏
225g味之不规则饼干芝士味,9,滞销,饼干糕点,味之不规则饼干芝士味
250ML东鹏特饮,22,正常,功能饮料,东鹏特饮
250ml燕塘原味酸奶,62,正常,乳制品,燕塘原味酸奶
250ml燕塘甜牛奶,74,正常,乳制品,燕塘甜牛奶
250ml燕塘红枣牛奶,53,正常,乳制品,燕塘红枣牛奶
250ml王老吉盒装,9,滞销,茶饮料,王老吉盒装
250ml红牛,37,正常,功能饮料,红牛
250ml统一麦香奶茶,1,滞销,茶饮料,统一麦香奶茶
250ml维他原味豆奶,79,正常,植物蛋白,维他原味豆奶
250ml维他奶低糖原味,9,滞销,植物蛋白,维他奶低糖原味
250ml维他奶巧克力味,22,正常,植物蛋白,维他奶巧克力味
250ml维他奶黑豆奶饮品,3,滞销,植物蛋白,维他奶黑豆奶饮品
250ml维他柠檬茶,73,正常,茶饮料,维他柠檬茶
250ml维他椰子味豆奶7716,2,滞销,植物蛋白,维他椰子味豆奶
250ml维他椰子植物蛋白饮料,2,滞销,植物蛋白,维他椰子植物蛋白饮料
250ml维他椰子植物蛋白饮料9374,1,滞销,植物蛋白,维他椰子植物蛋白饮料
260g马来西亚进口茱蒂丝口口香饼干,5,滞销,饼干糕点,马来西亚进口茱蒂丝口口香饼干
268ml雀巢咖啡丝滑拿铁,45,正常,咖啡,雀巢咖啡丝滑拿铁
2g韩国海牌海苔,41,正常,海味零食,韩国海牌海苔
30g元朗小蛋卷,8,滞销,饼干糕点,元朗小蛋卷
30g无穷农场盐_鸡蛋,149,热销,蛋,无穷农场盐鸡蛋
32g卫龙亲嘴烧,80,正常,豆制品,卫龙亲嘴烧
32g卫龙亲嘴烧川香味,3,滞销,豆制品,卫龙亲嘴烧川香味
32g卫龙亲嘴烧红烧牛肉味,30,正常,豆制品,卫龙亲嘴烧红烧牛肉味
