商品,销量,标签,标签1,标签2
100g*5瓶益力多,53,正常,乳制品,益力多
100g卫龙点心面黑椒牛排味,9,滞销,豆制品,卫龙点心面黑椒牛排味
100g果王咸柑桔罐装,14,正常,果干,果王咸柑桔罐装
103g康师傅红烧牛肉面,17,正常,方便速食,康师傅红烧牛肉面
107g出前一丁桶面酱香牛肉王,12,正常,方便速食,出前一丁桶面酱香牛肉王
10g卫龙亲嘴烧香辣味,65,正常,豆制品,卫龙亲嘴烧香辣味
10g越南LIPO奶味面包干,3,滞销,饼干糕点,越南奶味面包干
10g越南LIPO奶味面包干0015,2,滞销,饼干糕点,越南奶味面包干
10g越南LIPO奶味面包干0046,1,滞销,饼干糕点,越南奶味面包干
110g顺宝九制话梅,58,正常,蜜饯,顺宝九制话梅
117gUFO炒面铁板色拉鱿鱼风味,24,正常,方便速食,炒面铁板色拉鱿鱼风味
123gUFO炒面XO酱海鲜风味,2,滞销,方便速食,炒面酱海鲜风味
12g劲仔小鱼卤香味,14,正常,肉干,劲仔小鱼卤香味
12g劲仔小鱼麻辣味,173,热销,肉干,劲仔小鱼麻辣味
12g劲仔小鱼（香辣味）,2,滞销,肉干,劲仔小鱼香辣味
130g果王玉带蚕豆,11,正常,坚果炒货,果王玉带蚕豆
13g无穷烤鸡小腿蜂蜜味,199,热销,肉干,无穷烤鸡小腿蜂蜜味
13g雀巢咖啡1+2特浓,4,滞销,咖啡,雀巢咖啡特浓
145g果王迷你山楂包装,14,正常,果干,果王迷你山楂包装
145ml旺仔牛奶盒装,214,热销,乳制品,旺仔牛奶盒装
145ml旺仔牛奶罐装,16,正常,乳制品,旺仔牛奶罐装
148g富甲一方紫薯仔,66,正常,果干,富甲一方紫薯仔
14g德芙巧克力,1,滞销,巧克力,德芙巧克力
150g健能酸奶原味,37,正常,乳制品,健能酸奶原味
150g洽洽原香瓜子,18,正常,坚果炒货,洽洽原香瓜子
150抽诗竹竹纤维面巾纸,15,正常,纸巾,抽诗竹竹纤维面巾纸
160g盼盼手撕面包,50,正常,饼干糕点,盼盼手撕面包
180g统一满汉全席台式半筋半肉牛肉面,15,正常,方便速食,统一满汉全席台式半筋半肉牛肉面
180ml雀巢咖啡罐装,21,正常,咖啡,雀巢咖啡罐装
188g澳门永辉鸡仔饼,8,滞销,饼干糕点,澳门永辉鸡仔饼
205g伊利安慕希原味,63,正常,乳制品,伊利安慕希原味
205ml安慕希蓝莓味,10,正常,乳制品,安慕希蓝莓味
20g咩咩世界虾味条,3,滞销,膨化食品,咩咩世界虾味条
20g咪咪虾条马来西亚风味,253,热销,膨化食品,咪咪虾条马来西亚风味
20g士力架,2,滞销,巧克力,士力架
20g马来西亚风味咪咪蟹味粒0219,27,正常,膨化食品,马来西亚风味咪咪蟹味粒
220g宝丰龙龟苓膏,33,正常,龟苓膏,宝丰龙龟苓膏
220g宝丰龙龟苓膏绿豆味,5,滞销,龟苓膏,宝丰龙龟苓膏绿豆味
225g味之不规则饼干芝士味,47,正常,饼干糕点,味之不规则饼干芝士味
250ML东鹏特饮,45,正常,功能饮料,东鹏特饮
250ml燕塘原味酸奶,158,热销,乳制品,燕塘原味酸奶
250ml燕塘甜牛奶,219,热销,乳制品,燕塘甜牛奶
250ml燕塘红枣牛奶,128,热销,乳制品,燕塘红枣牛奶
250ml王老吉盒装,17,正常,茶饮料,王老吉盒装
250ml红牛,102,热销,功能饮料,红牛
250ml统一麦香奶茶,40,正常,茶饮料,统一麦香奶茶
250ml维他原味豆奶,188,热销,植物蛋白,维他原味豆奶
250ml维他奶低糖原味,50,正常,植物蛋白,维他奶低糖原味
250ml维他奶巧克力味,127,热销,植物蛋白,维他奶巧克力味
250ml维他奶黑豆奶饮品,4,滞销,植物蛋白,维他奶黑豆奶饮品
250ml维他柠檬茶,230,热销,茶饮料,维他柠檬茶
250ml维他椰子味豆奶7716,3,滞销,植物蛋白,维他椰子味豆奶
250ml维他椰子植物蛋白饮料,12,正常,植物蛋白,维他椰子植物蛋白饮料
250ml维他椰子植物蛋白饮料9374,2,滞销,植物蛋白,维他椰子植物蛋白饮料
260g马来西亚进口茱蒂丝口口香饼干,30,正常,饼干糕点,马来西亚进口茱蒂丝口口香饼干
268ml雀巢咖啡丝滑拿铁,164,热销,咖啡,雀巢咖啡丝滑拿铁
2g韩国海牌海苔,90,正常,海味零食,韩国海牌海苔
30g元朗小蛋卷,42,正常,饼干糕点,元朗小蛋卷
30g无穷农场盐_鸡蛋,206,热销,蛋,无穷农场盐鸡蛋
32g卫龙亲嘴烧,143,热销,豆制品,卫龙亲嘴烧
32g卫龙亲嘴烧川香味,11,正常,豆制品,卫龙亲嘴烧川香味
32g卫龙亲嘴烧红烧牛肉味,96,正常,豆制品,卫龙亲嘴烧红烧牛肉味
330ml伊利畅意乳酸菌原味,138,热销,乳制品,伊利畅意乳酸菌原味
330ml伊利畅意乳酸菌草莓味,2,滞销,乳制品,伊利畅意乳酸菌草莓味
340ml蒙牛优益C乳酸菌,2,滞销,乳制品,蒙牛优益乳酸菌
34g公仔迷你杯牛肉味,19,正常,方便速食,公仔迷你杯牛肉味
34g公仔迷你杯风味排骨味,7,滞销,方便速食,公仔迷你杯风味排骨味
37.5g费列罗榛果威化巧克力3颗,31,正常,巧克力,.费列罗榛果威化巧克力颗
370g泰奇八宝粥,10,正常,方便速食,泰奇八宝粥
40g上好佳日式鱼果,27,正常,膨化食品,上好佳日式鱼果
40g上好佳田园薯片番茄味,6,滞销,膨化食品,上好佳田园薯片番茄味
40g乐事美国经典原味,28,正常,膨化食品,乐事美国经典原味
40g乐事薯片墨西哥鸡汁番茄味,22,正常,膨化食品,乐事薯片墨西哥鸡汁番茄味
40g乐事薯片黄瓜味,39,正常,膨化食品,乐事薯片黄瓜味
40g卫龙点心面黑椒牛排味,12,正常,豆制品,卫龙点心面黑椒牛排味
40g双汇玉米热狗肠,407,热销,肉干,双汇玉米热狗肠
40g呀土豆番茄酱味,28,正常,膨化食品,呀土豆番茄酱味
40g呀土豆薯片滋香烤鸡味,27,正常,膨化食品,呀土豆薯片滋香烤鸡味
40g盼盼手撕面包,1,滞销,饼干糕点,盼盼手撕面包
430g泰奇八宝粥,85,正常,方便速食,泰奇八宝粥
450ml美汁源果粒橙,86,正常,果蔬饮料,美汁源果粒橙
45g双汇泡面拍挡,66,正常,肉干,双汇泡面拍挡
480ml小茗同学冷泡溜溜哒茶,14,正常,茶饮料,小茗同学冷泡溜溜哒茶
480ml小茗同学冷泡青柠红茶,70,正常,茶饮料,小茗同学冷泡青柠红茶
48g好丽友薯愿香烤原味,19,正常,膨化食品,好丽友薯愿香烤原味
500ML宝矿力,6,滞销,功能饮料,宝矿力
500ml农夫果园 (芒果+菠萝+番石榴),59,正常,果蔬饮料,农夫果园 芒果菠萝番石榴
500ml加多宝,113,热销,茶饮料,加多宝
500ml康师傅冰糖雪梨,19,正常,果蔬饮料,康师傅冰糖雪梨
500ml恒大冰泉矿泉水,9,滞销,水,恒大冰泉矿泉水
