金额,商品,支付时间,地点,商品大类,商品二级类
3.0,40g双汇玉米热狗肠,2017/1/1 01:33,A,非饮料,肉干/豆制品/蛋
5.8,100g卫龙点心面黑椒牛排味,2017/1/1 19:29,A,非饮料,肉干/豆制品/蛋
0.8,咪咪虾条马来西亚风味,2017/1/1 19:33,A,非饮料,膨化食品
3.0,250ml维他柠檬茶,2017/1/1 19:55,A,饮料,茶饮料
3.5,东鹏特饮,2017/1/1 20:18,A,饮料,功能饮料
3.0,250ml维他柠檬茶,2017/1/1 20:25,A,饮料,茶饮料
3.0,卫龙大面筋,2017/1/1 20:25,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/2 08:50,A,饮料,功能饮料
1.5,卫龙亲嘴烧红烧牛肉味,2017/1/2 12:02,A,非饮料,肉干/豆制品/蛋
4.5,阿萨姆奶茶,2017/1/2 13:34,A,饮料,茶饮料
4.0,145ml旺仔牛奶盒装,2017/1/2 13:58,A,饮料,乳制品
2.0,伊利优酸乳,2017/1/2 15:56,A,饮料,乳制品
4.5,2g韩国海牌海苔,2017/1/2 22:42,A,非饮料,海味零食
4.0,脉动,2017/1/2 22:42,A,饮料,功能饮料
3.0,250ml维他柠檬茶,2017/1/3 09:50,A,饮料,茶饮料
2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/3 14:57,A,非饮料,饼干糕点
3.0,可口可乐最新款,2017/1/3 15:10,A,饮料,碳酸饮料
3.0,果粒橙,2017/1/3 15:44,A,饮料,果蔬饮料
1.0,香豆干,2017/1/3 15:46,A,非饮料,肉干/豆制品/蛋
4.5,78g卫龙亲嘴语辣条,2017/1/3 16:23,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/3 16:24,A,饮料,功能饮料
3.0,果粒橙,2017/1/3 16:25,A,饮料,果蔬饮料
3.5,可乐可乐,2017/1/3 16:25,A,饮料,碳酸饮料
1.8,32g卫龙亲嘴烧,2017/1/3 20:24,A,非饮料,肉干/豆制品/蛋
8.0,80g四洲粟一烧烧烤味,2017/1/4 08:58,A,非饮料,膨化食品
6.0,330ml伊利畅意乳酸菌原味,2017/1/4 13:50,A,饮料,乳制品
2.5,14g德芙巧克力,2017/1/5 14:54,A,非饮料,糖果/巧克力
3.0,统一绿茶,2017/1/5 16:02,A,饮料,茶饮料
5.5,205g伊利安慕希原味,2017/1/5 18:51,A,饮料,乳制品
8.0,80g四洲粟一烧烧烤味,2017/1/6 14:02,A,非饮料,膨化食品
3.5,维他奶黑豆奶饮品,2017/1/6 14:58,A,饮料,植物蛋白
6.0,86g合味道海鲜风味,2017/1/6 22:34,A,非饮料,方便速食
4.0,450ml美汁源果粒橙,2017/1/8 12:09,A,饮料,果蔬饮料
5.0,500ml统一阿萨姆奶茶,2017/1/8 12:36,A,饮料,茶饮料
6.0,13g无穷烤鸡小腿蜂蜜味,2017/1/8 13:05,A,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮北海道吐司,2017/1/8 15:54,A,非饮料,饼干糕点
25.0,芙蓉王,2017/1/8 19:57,A,非饮料,香烟
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/8 20:04,A,饮料,咖啡
1.5,鸭翅,2017/1/8 20:13,A,非饮料,肉干/豆制品/蛋
5.5,205g伊利安慕希原味,2017/1/8 20:17,A,饮料,乳制品
6.0,红牛,2017/1/8 20:19,A,饮料,功能饮料
2.0,怡宝纯净水,2017/1/8 20:23,A,饮料,水
3.0,果粒橙,2017/1/8 20:42,A,饮料,果蔬饮料
2.5,无穷农场盐_鸡蛋,2017/1/8 20:48,A,非饮料,肉干/豆制品/蛋
4.5,40g呀土豆薯片滋香烤鸡味,2017/1/8 20:55,A,非饮料,膨化食品
3.0,250ml维他柠檬茶,2017/1/8 21:06,A,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/8 21:07,A,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/1/8 21:16,A,饮料,茶饮料
