金额,商品,支付时间,地点,商品大类,商品二级类
3.0,600ml可口可乐,2017/1/1 09:41,B,饮料,碳酸饮料
4.5,营养快线,2017/1/1 09:41,B,饮料,乳制品
3.0,茉莉蜜茶,2017/1/1 11:56,B,饮料,茶饮料
3.0,可口可乐最新款,2017/1/1 20:25,B,饮料,碳酸饮料
2.0,鸭翅,2017/1/2 13:34,B,非饮料,肉干/豆制品/蛋
4.5,500ml营养快线原味,2017/1/2 14:36,B,饮料,乳制品
3.5,王老吉（罐）,2017/1/2 15:28,B,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/2 17:03,B,非饮料,肉干/豆制品/蛋
3.5,250ml燕塘甜牛奶,2017/1/2 18:59,B,饮料,乳制品
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/2 20:28,B,非饮料,饼干糕点
2.5,伊利优酸乳,2017/1/2 21:18,B,饮料,乳制品
3.5,王老吉（罐）,2017/1/2 23:48,B,饮料,茶饮料
1.5,40g双汇玉米热狗肠,2017/1/3 01:52,B,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮手撕面包（提子味）,2017/1/3 15:20,B,非饮料,饼干糕点
2.5,伊利优酸乳,2017/1/3 15:20,B,饮料,乳制品
4.8,诗竹竹纤维面巾纸,2017/1/3 15:21,B,非饮料,纸巾
3.0,威化饼干,2017/1/3 15:44,B,非饮料,饼干糕点
5.0,阿萨姆奶茶,2017/1/3 15:46,B,饮料,茶饮料
4.0,营养快线,2017/1/3 16:17,B,饮料,乳制品
2.5,可口可乐330ml,2017/1/4 00:43,B,饮料,碳酸饮料
7.0,150g洽洽原香瓜子,2017/1/4 00:44,B,非饮料,坚果炒货
4.5,40g乐事薯片黄瓜味,2017/1/4 04:35,B,非饮料,膨化食品
1.8,32g卫龙亲嘴烧,2017/1/4 22:33,B,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/5 15:51,B,饮料,水
5.0,阿萨姆奶茶,2017/1/5 16:02,B,饮料,茶饮料
4.5,250ml燕塘甜牛奶,2017/1/5 18:03,B,饮料,乳制品
2.5,30g无穷农场盐_鸡蛋,2017/1/5 19:51,B,非饮料,肉干/豆制品/蛋
0.6,20g咪咪虾条马来西亚风味,2017/1/5 20:08,B,非饮料,膨化食品
2.5,30g无穷农场盐_鸡蛋,2017/1/6 16:56,B,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/1/6 17:40,B,饮料,乳制品
4.0,450ml美汁源果粒橙,2017/1/6 23:17,B,饮料,果蔬饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/7 08:59,B,非饮料,肉干/豆制品/蛋
5.0,85g统一老坛酸菜牛肉面,2017/1/7 18:14,B,非饮料,方便速食
2.0,85g新麦潮北海道吐司,2017/1/8 09:12,B,非饮料,饼干糕点
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 19:54,B,非饮料,饼干糕点
1.5,香脆肠,2017/1/8 19:54,B,非饮料,肉干/豆制品/蛋
6.5,430g泰奇八宝粥,2017/1/8 19:57,B,非饮料,方便速食
6.0,红牛,2017/1/8 19:57,B,饮料,功能饮料
3.0,芬达330ml,2017/1/8 20:02,B,饮料,碳酸饮料
3.0,统一冰红茶,2017/1/8 20:03,B,饮料,茶饮料
6.0,红牛,2017/1/8 20:13,B,饮料,功能饮料
3.5,维他原味豆奶,2017/1/8 20:15,B,饮料,植物蛋白
3.0,怡宝纯净水,2017/1/8 20:15,B,饮料,水
3.5,统一绿茶,2017/1/8 20:22,B,饮料,茶饮料
1.5,劲仔小鱼（卤香味）,2017/1/8 20:32,B,非饮料,肉干/豆制品/蛋
3.0,维他奶,2017/1/8 20:32,B,饮料,植物蛋白
4.5,50g上好佳日式鱼果,2017/1/8 20:34,B,非饮料,膨化食品
6.0,安慕希酸奶,2017/1/8 20:37,B,饮料,乳制品
1.5,香脆肠,2017/1/8 20:42,B,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/8 20:46,B,饮料,茶饮料
4.0,阿萨姆奶茶,2017/1/8 20:49,B,饮料,茶饮料
2.5,可口可乐330ml,2017/1/8 20:52,B,饮料,碳酸饮料
3.5,冰糖雪梨,2017/1/8 20:56,B,饮料,果蔬饮料
5.5,统一来一桶香辣老坛酸菜牛肉面,2017/1/8 21:00,B,非饮料,方便速食
3.0,怡宝纯净水,2017/1/8 21:00,B,饮料,水
3.0,怡宝纯净水,2017/1/8 21:03,B,饮料,水
3.0,250ml维他奶黑豆奶饮品,2017/1/8 21:04,B,饮料,植物蛋白
4.5,250ml燕塘原味酸奶,2017/1/8 21:05,B,饮料,乳制品
4.5,40g乐事美国经典原味,2017/1/8 21:10,B,非饮料,膨化食品
2.0,怡宝纯净水,2017/1/8 21:10,B,饮料,水
4.0,脉动,2017/1/8 21:17,B,饮料,功能饮料
3.0,百事可乐500ml,2017/1/8 21:21,B,饮料,碳酸饮料
3.0,可口可乐最新款,2017/1/8 21:22,B,饮料,碳酸饮料
5.0,营养快线,2017/1/8 21:24,B,饮料,乳制品
3.0,怡宝纯净水,2017/1/8 21:25,B,饮料,水
3.5,500ml加多宝,2017/1/8 21:26,B,饮料,茶饮料
5.0,王老吉（500ml）,2017/1/8 21:26,B,饮料,茶饮料
3.5,东鹏特饮,2017/1/8 21:27,B,饮料,功能饮料
3.0,250ml维他柠檬茶,2017/1/8 21:46,B,饮料,茶饮料
1.5,香脆肠,2017/1/8 21:46,B,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/1/8 21:57,B,饮料,水
5.0,500ml统一阿萨姆奶茶,2017/1/8 22:47,B,饮料,茶饮料
4.0,85g新麦潮北海道吐司,2017/1/8 23:22,B,非饮料,饼干糕点
3.5,芬达330ml,2017/1/8 23:23,B,饮料,碳酸饮料
3.5,85g新麦潮手撕面包（提子味）,2017/1/8 23:26,B,非饮料,饼干糕点
3.0,怡宝纯净水,2017/1/8 23:26,B,饮料,水
2.5,250ml维他奶巧克力味,2017/1/8 23:34,B,饮料,植物蛋白
3.0,怡宝纯净水,2017/1/9 00:05,B,饮料,水
3.5,果粒橙,2017/1/9 00:07,B,饮料,果蔬饮料
4.0,王老吉（罐）,2017/1/9 00:09,B,饮料,茶饮料
4.5,500ml加多宝,2017/1/9 01:24,B,饮料,茶饮料
5.0,王老吉（500ml）,2017/1/9 03:08,B,饮料,茶饮料
3.0,可口可乐最新款,2017/1/9 03:10,B,饮料,碳酸饮料
3.5,250ml维他奶巧克力味,2017/1/9 03:26,B,饮料,植物蛋白
3.5,伊利优酸乳,2017/1/9 03:26,B,饮料,乳制品
4.0,熊字饼,2017/1/9 07:36,B,非饮料,饼干糕点
4.5,250ml燕塘甜牛奶,2017/1/9 07:38,B,饮料,乳制品
3.0,怡宝纯净水,2017/1/9 07:41,B,饮料,水
3.0,雪碧最新款,2017/1/9 07:42,B,饮料,碳酸饮料
3.0,怡宝纯净水,2017/1/9 07:43,B,饮料,水
3.0,怡宝纯净水,2017/1/9 08:14,B,饮料,水
1.5,小鱼仔,2017/1/9 08:17,B,非饮料,海味零食
4.5,250ml燕塘甜牛奶,2017/1/9 08:20,B,饮料,乳制品
3.0,怡宝纯净水,2017/1/9 09:29,B,饮料,水
3.5,维他原味豆奶,2017/1/9 09:32,B,饮料,植物蛋白
3.0,雪碧最新款,2017/1/9 09:32,B,饮料,碳酸饮料
4.5,40g呀土豆薯片滋香烤鸡味,2017/1/9 09:33,B,非饮料,膨化食品
3.0,怡宝纯净水,2017/1/9 09:46,B,饮料,水
4.0,85g新麦潮北海道吐司,2017/1/9 10:05,B,非饮料,饼干糕点
2.0,85g新麦潮手撕面包（提子味）,2017/1/9 10:17,B,非饮料,饼干糕点
3.0,怡宝纯净水,2017/1/9 10:29,B,饮料,水
3.0,怡宝纯净水,2017/1/9 12:00,B,饮料,水
