金额,商品,支付时间,地点,商品大类,商品二级类
5.0,48g好丽友薯愿香烤原味,2017/1/1 09:05,C,非饮料,膨化食品
8.0,160g盼盼手撕面包,2017/1/1 11:33,C,非饮料,饼干糕点
2.0,鸭翅,2017/1/1 11:56,C,非饮料,肉干/豆制品/蛋
3.0,40g双汇玉米热狗肠,2017/1/1 12:55,C,非饮料,肉干/豆制品/蛋
3.0,怡宝,2017/1/1 18:42,C,饮料,水
4.0,阿萨姆奶茶,2017/1/2 08:50,C,饮料,茶饮料
4.5,250ml燕塘甜牛奶,2017/1/2 11:55,C,饮料,乳制品
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/2 13:04,C,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/2 13:54,C,饮料,茶饮料
3.0,雪碧最新款,2017/1/2 14:37,C,饮料,碳酸饮料
3.5,王老吉（罐）,2017/1/2 15:56,C,饮料,茶饮料
2.0,5片装益达绿箭口香糖,2017/1/2 16:58,C,非饮料,糖果/巧克力
5.0,无穷农场盐_鸡蛋,2017/1/2 17:47,C,非饮料,肉干/豆制品/蛋
2.0,怡宝纯净水,2017/1/2 19:02,C,饮料,水
2.0,怡宝纯净水,2017/1/2 21:18,C,饮料,水
4.0,55g奥利奥原味芝士饼干,2017/1/2 23:03,C,非饮料,饼干糕点
4.5,加多宝,2017/1/3 09:49,C,饮料,茶饮料
9.0,四洲粟一烧烧烤味,2017/1/3 14:41,C,非饮料,膨化食品
3.5,丽芝士纳宝帝奶酪威化饼干,2017/1/3 15:08,C,非饮料,饼干糕点
4.8,2g韩国海牌海苔,2017/1/3 20:42,C,非饮料,海味零食
2.5,30g无穷农场盐_鸡蛋,2017/1/3 22:15,C,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/4 00:42,C,饮料,茶饮料
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/4 13:15,C,非饮料,饼干糕点
1.5,12g劲仔小鱼麻辣味,2017/1/4 17:22,C,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘原味酸奶,2017/1/4 17:23,C,饮料,乳制品
3.5,王老吉（罐）,2017/1/4 17:23,C,饮料,茶饮料
3.0,旺仔牛奶145ml,2017/1/5 15:25,C,饮料,乳制品
4.5,250ml燕塘原味酸奶,2017/1/5 16:11,C,饮料,乳制品
3.0,可口可乐最新款,2017/1/5 22:13,C,饮料,碳酸饮料
4.5,250ml燕塘甜牛奶,2017/1/6 04:09,C,饮料,乳制品
2.8,145ml旺仔牛奶盒装,2017/1/7 13:01,C,饮料,乳制品
34.0,188g澳门永辉鸡仔饼,2017/1/7 14:02,C,非饮料,饼干糕点
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/7 15:14,C,非饮料,饼干糕点
1.0,咪咪,2017/1/8 20:06,C,非饮料,膨化食品
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 20:07,C,非饮料,饼干糕点
2.0,怡宝纯净水,2017/1/8 20:07,C,饮料,水
3.0,12g劲仔小鱼麻辣味,2017/1/8 20:09,C,非饮料,肉干/豆制品/蛋
2.0,伊利优酸乳,2017/1/8 20:12,C,饮料,乳制品
4.0,阿萨姆奶茶,2017/1/8 20:15,C,饮料,茶饮料
4.5,250ml燕塘原味酸奶,2017/1/8 20:20,C,饮料,乳制品
2.5,伊利优酸乳,2017/1/8 20:22,C,饮料,乳制品
2.0,怡宝纯净水,2017/1/8 20:23,C,饮料,水
11.8,37.5g费列罗榛果威化巧克力3颗,2017/1/8 20:24,C,非饮料,糖果/巧克力
4.5,脉动,2017/1/8 20:49,C,饮料,功能饮料
6.0,红牛,2017/1/8 20:52,C,饮料,功能饮料
4.0,阿萨姆奶茶,2017/1/8 21:03,C,饮料,茶饮料
3.5,东鹏特饮,2017/1/8 21:16,C,饮料,功能饮料
3.5,统一绿茶,2017/1/8 21:21,C,饮料,茶饮料
10.0,味之不规则饼干（芝士味）,2017/1/8 21:34,C,非饮料,饼干糕点
5.0,脉动,2017/1/8 21:55,C,饮料,功能饮料
5.0,脉动,2017/1/8 21:56,C,饮料,功能饮料
6.0,330ml伊利畅意乳酸菌原味,2017/1/8 22:03,C,饮料,乳制品
6.0,86g合味道海鲜风味,2017/1/8 22:55,C,非饮料,方便速食
1.8,32g卫龙亲嘴烧,2017/1/9 04:39,C,非饮料,肉干/豆制品/蛋
4.0,145ml旺仔牛奶盒装,2017/1/9 04:41,C,饮料,乳制品
4.5,250ml燕塘红枣牛奶,2017/1/9 04:42,C,饮料,乳制品
4.5,加多宝,2017/1/9 04:49,C,饮料,茶饮料
3.8,110g顺宝九制话梅,2017/1/9 07:37,C,非饮料,蜜饯/果干
3.0,可口可乐（500ml）,2017/1/9 07:41,C,饮料,碳酸饮料
3.0,印尼芝士威化饼干,2017/1/9 07:43,C,非饮料,饼干糕点
2.0,怡宝纯净水,2017/1/9 08:14,C,饮料,水
3.5,冰糖雪梨,2017/1/9 08:17,C,饮料,果蔬饮料
1.5,40g双汇玉米热狗肠,2017/1/9 08:33,C,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/9 09:26,C,非饮料,肉干/豆制品/蛋
3.0,果粒橙,2017/1/9 09:35,C,饮料,果蔬饮料
6.5,250ml红牛,2017/1/9 11:56,C,饮料,功能饮料
4.0,乐虎（380ml）,2017/1/9 12:21,C,饮料,功能饮料
6.0,13g无穷烤鸡小腿蜂蜜味,2017/1/9 12:27,C,非饮料,肉干/豆制品/蛋
