金额,商品,支付时间,地点,商品大类,商品二级类
4.5,68g好丽友巧克力派2枚,2017/1/1 00:53,D,非饮料,饼干糕点
5.0,85g统一老坛酸菜牛肉面,2017/1/1 12:53,D,非饮料,方便速食
6.0,红牛,2017/1/1 20:25,D,饮料,功能饮料
1.8,32g卫龙亲嘴烧,2017/1/2 13:27,D,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/2 13:35,D,非饮料,肉干/豆制品/蛋
4.0,营养快线,2017/1/2 13:54,D,饮料,乳制品
3.0,维他奶,2017/1/2 14:37,D,饮料,植物蛋白
4.5,500ml加多宝,2017/1/2 16:22,D,饮料,茶饮料
3.0,12g劲仔小鱼麻辣味,2017/1/2 18:16,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/1/2 20:53,D,饮料,茶饮料
4.5,68g好丽友巧克力派2枚,2017/1/2 20:58,D,非饮料,饼干糕点
3.0,85g新麦潮北海道吐司,2017/1/2 21:04,D,非饮料,饼干糕点
2.5,30g无穷农场盐_鸡蛋,2017/1/2 21:21,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他原味豆奶,2017/1/2 21:50,D,饮料,植物蛋白
4.0,银鹭八宝粥,2017/1/2 23:48,D,饮料,方便速食
7.5,雀巢咖啡,2017/1/3 15:22,D,饮料,咖啡
4.0,85g新麦潮北海道吐司,2017/1/3 15:55,D,非饮料,饼干糕点
3.0,果粒橙,2017/1/3 16:17,D,饮料,果蔬饮料
1.5,小鱼仔,2017/1/3 16:25,D,非饮料,海味零食
1.5,45g双汇泡面拍挡,2017/1/3 19:23,D,非饮料,肉干/豆制品/蛋
2.4,20g咪咪虾条马来西亚风味,2017/1/3 20:41,D,非饮料,膨化食品
3.0,250ml维他奶低糖原味,2017/1/4 08:59,D,饮料,植物蛋白
1.5,鸭翅,2017/1/4 08:59,D,非饮料,肉干/豆制品/蛋
7.0,泰奇八宝粥,2017/1/4 11:19,D,非饮料,方便速食
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/4 21:06,D,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/5 16:20,D,饮料,茶饮料
3.0,雪碧最新款,2017/1/7 13:02,D,饮料,碳酸饮料
4.0,55g奥利奥原味芝士饼干,2017/1/7 14:04,D,非饮料,饼干糕点
3.0,10g卫龙亲嘴烧香辣味,2017/1/8 19:53,D,非饮料,肉干/豆制品/蛋
3.0,熊字饼,2017/1/8 19:54,D,非饮料,饼干糕点
3.5,王老吉（罐）,2017/1/8 19:57,D,饮料,茶饮料
3.0,伊利纯牛奶,2017/1/8 20:07,D,饮料,乳制品
4.0,营养快线,2017/1/8 20:10,D,饮料,乳制品
5.5,85g统一老坛酸菜牛肉面,2017/1/8 20:14,D,非饮料,方便速食
3.2,2g韩国海牌海苔,2017/1/8 20:30,D,非饮料,海味零食
4.5,40g乐事薯片黄瓜味,2017/1/8 20:33,D,非饮料,膨化食品
6.5,70g乐事薯片（黄瓜味）,2017/1/8 20:36,D,非饮料,膨化食品
2.0,怡宝纯净水,2017/1/8 20:46,D,饮料,水
2.5,30g无穷农场盐_鸡蛋,2017/1/8 20:58,D,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/1/8 21:02,D,非饮料,肉干/豆制品/蛋
1.0,香豆干,2017/1/8 21:10,D,非饮料,肉干/豆制品/蛋
3.5,250ml维他奶巧克力味,2017/1/8 21:11,D,饮料,植物蛋白
1.0,香豆干,2017/1/8 21:11,D,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/1/8 21:16,D,非饮料,肉干/豆制品/蛋
3.5,统一冰红茶,2017/1/8 21:22,D,饮料,茶饮料
0.6,10g卫龙亲嘴烧香辣味,2017/1/8 21:41,D,非饮料,肉干/豆制品/蛋
2.0,香脆肠,2017/1/8 21:55,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/1/8 22:01,D,饮料,茶饮料
4.5,78g卫龙亲嘴语辣条,2017/1/8 22:56,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他奶低糖原味,2017/1/8 22:57,D,饮料,植物蛋白
3.0,果粒橙,2017/1/9 00:09,D,饮料,果蔬饮料
1.6,20g咪咪虾条马来西亚风味,2017/1/9 00:20,D,非饮料,膨化食品
2.0,双汇玉米热狗肠,2017/1/9 04:31,D,非饮料,肉干/豆制品/蛋
3.0,可口可乐（500ml）,2017/1/9 07:36,D,饮料,碳酸饮料
3.0,统一绿茶,2017/1/9 07:42,D,饮料,茶饮料
