金额,商品,支付时间,地点,商品大类,商品二级类
5.0,500ml农夫果园 (芒果+菠萝+番石榴),2017/1/1 18:59,E,饮料,果蔬饮料
4.0,55g奥利奥原味芝士饼干,2017/1/1 19:44,E,非饮料,饼干糕点
4.0,营养快线,2017/1/1 20:18,E,饮料,乳制品
3.0,统一冰红茶,2017/1/1 22:17,E,饮料,茶饮料
5.0,268ml雀巢咖啡丝滑拿铁,2017/1/2 08:48,E,饮料,咖啡
8.4,旺仔牛奶,2017/1/2 13:57,E,饮料,乳制品
2.0,伊利优酸乳,2017/1/2 15:28,E,饮料,乳制品
5.0,500ml统一阿萨姆奶茶,2017/1/2 16:07,E,饮料,茶饮料
2.0,145ml旺仔牛奶盒装,2017/1/2 17:46,E,饮料,乳制品
4.5,68g好丽友巧克力派2枚,2017/1/3 01:53,E,非饮料,饼干糕点
8.0,越南LIPO奶味面包干100g,2017/1/3 07:26,E,非饮料,饼干糕点
5.0,脉动（青柠）,2017/1/3 10:01,E,饮料,功能饮料
5.0,500ml统一阿萨姆奶茶,2017/1/3 11:50,E,饮料,茶饮料
2.0,145ml旺仔牛奶盒装,2017/1/3 12:15,E,饮料,乳制品
4.0,奥利奥原味芝士,2017/1/3 13:19,E,非饮料,饼干糕点
3.5,东鹏特饮,2017/1/3 15:10,E,饮料,功能饮料
5.0,12g劲仔小鱼麻辣味,2017/1/3 15:16,E,非饮料,肉干/豆制品/蛋
4.0,银鹭八宝粥,2017/1/3 15:33,E,饮料,方便速食
1.5,香豆干,2017/1/3 16:24,E,非饮料,肉干/豆制品/蛋
3.0,250ml维他原味豆奶,2017/1/3 17:49,E,饮料,植物蛋白
3.5,维他奶（巧克力味）,2017/1/3 18:44,E,饮料,植物蛋白
3.5,维他原味豆奶,2017/1/3 20:49,E,饮料,植物蛋白
6.0,268ml雀巢咖啡丝滑拿铁,2017/1/3 22:06,E,饮料,咖啡
4.0,银鹭八宝粥,2017/1/4 00:43,E,饮料,方便速食
8.0,250ml维他椰子植物蛋白饮料,2017/1/4 03:04,E,饮料,植物蛋白
3.0,250ml维他柠檬茶,2017/1/4 08:59,E,饮料,茶饮料
6.0,红牛,2017/1/4 08:59,E,饮料,功能饮料
3.0,250ml维他柠檬茶,2017/1/4 12:13,E,饮料,茶饮料
4.0,上好佳田园薯片,2017/1/4 21:09,E,非饮料,膨化食品
4.5,80g香飘飘椰果奶茶原味,2017/1/5 00:33,E,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/1/5 01:25,E,非饮料,肉干/豆制品/蛋
5.0,600ml脉动青柠,2017/1/5 12:08,E,饮料,功能饮料
2.0,双汇玉米热狗肠,2017/1/5 15:32,E,非饮料,肉干/豆制品/蛋
1.5,香豆干,2017/1/5 15:51,E,非饮料,肉干/豆制品/蛋
1.5,鸭翅,2017/1/5 16:20,E,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/1/5 17:03,E,饮料,茶饮料
3.5,34g公仔迷你杯牛肉味,2017/1/6 01:04,E,非饮料,方便速食
3.0,无穷烤鸡小腿（蜂蜜）,2017/1/7 13:52,E,非饮料,肉干/豆制品/蛋
3.0,250ml维他奶低糖原味,2017/1/7 14:15,E,饮料,植物蛋白
5.0,480ml小茗同学冷泡青柠红茶,2017/1/8 11:55,E,饮料,茶饮料
3.5,维他奶（巧克力味）,2017/1/8 12:08,E,饮料,植物蛋白
5.0,268ml雀巢咖啡丝滑拿铁,2017/1/8 12:26,E,饮料,咖啡
4.0,阿萨姆奶茶,2017/1/8 20:00,E,饮料,茶饮料
3.5,东鹏特饮,2017/1/8 20:03,E,饮料,功能饮料
4.0,阿萨姆奶茶,2017/1/8 20:05,E,饮料,茶饮料
4.0,阿萨姆奶茶,2017/1/8 20:06,E,饮料,茶饮料
3.0,可口可乐330ml,2017/1/8 20:10,E,饮料,碳酸饮料
3.0,雪碧最新款,2017/1/8 20:12,E,饮料,碳酸饮料
6.0,红牛,2017/1/8 20:25,E,饮料,功能饮料
2.0,怡宝纯净水,2017/1/8 20:32,E,饮料,水
3.0,250ml维他原味豆奶,2017/1/8 20:37,E,饮料,植物蛋白
4.0,阿萨姆奶茶,2017/1/8 20:37,E,饮料,茶饮料
10.0,口味王槟榔（绿）,2017/1/8 20:38,E,非饮料,蜜饯/果干
3.0,雪碧最新款,2017/1/8 20:56,E,饮料,碳酸饮料
4.5,250ml燕塘红枣牛奶,2017/1/8 21:15,E,饮料,乳制品
3.0,统一冰红茶,2017/1/8 21:16,E,饮料,茶饮料
3.0,统一冰红茶,2017/1/8 21:17,E,饮料,茶饮料
3.0,雪碧最新款,2017/1/8 21:25,E,饮料,碳酸饮料
3.0,熊字饼,2017/1/8 21:27,E,非饮料,饼干糕点
3.0,熊字饼,2017/1/8 21:46,E,非饮料,饼干糕点
3.5,250ML东鹏特饮,2017/1/8 21:54,E,饮料,功能饮料
4.0,冰糖雪梨,2017/1/8 21:57,E,饮料,果蔬饮料
0.8,20g咪咪虾条马来西亚风味,2017/1/8 22:50,E,非饮料,膨化食品
2.0,145ml旺仔牛奶盒装,2017/1/8 23:13,E,饮料,乳制品
25.0,芙蓉王,2017/1/8 23:26,E,非饮料,香烟
4.5,250ml燕塘原味酸奶,2017/1/8 23:33,E,饮料,乳制品
3.0,熊字饼,2017/1/9 00:05,E,非饮料,饼干糕点
4.0,阿萨姆奶茶,2017/1/9 02:43,E,饮料,茶饮料
3.0,可口可乐最新款,2017/1/9 03:10,E,饮料,碳酸饮料
3.5,维他奶（巧克力味）,2017/1/9 03:10,E,饮料,植物蛋白
5.5,268ml雀巢咖啡丝滑拿铁,2017/1/9 03:24,E,饮料,咖啡
2.0,145ml旺仔牛奶盒装,2017/1/9 07:20,E,饮料,乳制品
4.5,250ml燕塘甜牛奶,2017/1/9 07:48,E,饮料,乳制品
4.5,250ml燕塘甜牛奶,2017/1/9 07:57,E,饮料,乳制品
3.0,250ml维他柠檬茶,2017/1/9 09:18,E,饮料,茶饮料
5.0,220g宝丰龙龟苓膏,2017/1/9 09:27,E,非饮料,果冻/龟苓膏
3.5,统一冰红茶,2017/1/9 09:36,E,饮料,茶饮料
4.0,250ml燕塘甜牛奶,2017/1/9 09:47,E,饮料,乳制品
3.0,250ml维他原味豆奶,2017/1/9 10:10,E,饮料,植物蛋白
5.0,268ml雀巢咖啡丝滑拿铁,2017/1/9 10:19,E,饮料,咖啡
3.0,冰糖雪梨,2017/1/9 10:29,E,饮料,果蔬饮料
4.0,145ml旺仔牛奶盒装,2017/1/9 11:16,E,饮料,乳制品
4.5,250ml燕塘甜牛奶,2017/1/9 11:24,E,饮料,乳制品
6.0,268ml雀巢咖啡丝滑拿铁,2017/1/9 11:25,E,饮料,咖啡
3.0,统一冰红茶,2017/1/9 12:00,E,饮料,茶饮料
3.5,东鹏特饮,2017/1/9 12:02,E,饮料,功能饮料
3.0,维他奶,2017/1/9 12:03,E,饮料,植物蛋白
3.0,熊字饼,2017/1/9 12:09,E,非饮料,饼干糕点
