金额,商品,支付时间,地点,商品大类,商品二级类
4.5,68g好丽友巧克力派2枚,2017/1/1 00:53,D,非饮料,饼干糕点
3.0,40g双汇玉米热狗肠,2017/1/1 01:33,A,非饮料,肉干/豆制品/蛋
5.0,48g好丽友薯愿香烤原味,2017/1/1 09:05,C,非饮料,膨化食品
3.0,600ml可口可乐,2017/1/1 09:41,B,饮料,碳酸饮料
4.5,营养快线,2017/1/1 09:41,B,饮料,乳制品
8.0,160g盼盼手撕面包,2017/1/1 11:33,C,非饮料,饼干糕点
3.0,茉莉蜜茶,2017/1/1 11:56,B,饮料,茶饮料
2.0,鸭翅,2017/1/1 11:56,C,非饮料,肉干/豆制品/蛋
5.0,85g统一老坛酸菜牛肉面,2017/1/1 12:53,D,非饮料,方便速食
3.0,40g双汇玉米热狗肠,2017/1/1 12:55,C,非饮料,肉干/豆制品/蛋
3.0,怡宝,2017/1/1 18:42,C,饮料,水
5.0,500ml农夫果园 (芒果+菠萝+番石榴),2017/1/1 18:59,E,饮料,果蔬饮料
5.8,100g卫龙点心面黑椒牛排味,2017/1/1 19:29,A,非饮料,肉干/豆制品/蛋
0.8,咪咪虾条马来西亚风味,2017/1/1 19:33,A,非饮料,膨化食品
4.0,55g奥利奥原味芝士饼干,2017/1/1 19:44,E,非饮料,饼干糕点
3.0,250ml维他柠檬茶,2017/1/1 19:55,A,饮料,茶饮料
3.5,东鹏特饮,2017/1/1 20:18,A,饮料,功能饮料
4.0,营养快线,2017/1/1 20:18,E,饮料,乳制品
3.0,250ml维他柠檬茶,2017/1/1 20:25,A,饮料,茶饮料
3.0,卫龙大面筋,2017/1/1 20:25,A,非饮料,肉干/豆制品/蛋
3.0,可口可乐最新款,2017/1/1 20:25,B,饮料,碳酸饮料
6.0,红牛,2017/1/1 20:25,D,饮料,功能饮料
3.0,统一冰红茶,2017/1/1 22:17,E,饮料,茶饮料
5.0,268ml雀巢咖啡丝滑拿铁,2017/1/2 08:48,E,饮料,咖啡
3.5,东鹏特饮,2017/1/2 08:50,A,饮料,功能饮料
4.0,阿萨姆奶茶,2017/1/2 08:50,C,饮料,茶饮料
4.5,250ml燕塘甜牛奶,2017/1/2 11:55,C,饮料,乳制品
1.5,卫龙亲嘴烧红烧牛肉味,2017/1/2 12:02,A,非饮料,肉干/豆制品/蛋
3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/2 13:04,C,非饮料,肉干/豆制品/蛋
1.8,32g卫龙亲嘴烧,2017/1/2 13:27,D,非饮料,肉干/豆制品/蛋
4.5,阿萨姆奶茶,2017/1/2 13:34,A,饮料,茶饮料
2.0,鸭翅,2017/1/2 13:34,B,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧红烧牛肉味,2017/1/2 13:35,D,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/1/2 13:54,C,饮料,茶饮料
4.0,营养快线,2017/1/2 13:54,D,饮料,乳制品
8.4,旺仔牛奶,2017/1/2 13:57,E,饮料,乳制品
4.0,145ml旺仔牛奶盒装,2017/1/2 13:58,A,饮料,乳制品
4.5,500ml营养快线原味,2017/1/2 14:36,B,饮料,乳制品
3.0,雪碧最新款,2017/1/2 14:37,C,饮料,碳酸饮料
3.0,维他奶,2017/1/2 14:37,D,饮料,植物蛋白
3.5,王老吉（罐）,2017/1/2 15:28,B,饮料,茶饮料
2.0,伊利优酸乳,2017/1/2 15:28,E,饮料,乳制品
2.0,伊利优酸乳,2017/1/2 15:56,A,饮料,乳制品
3.5,王老吉（罐）,2017/1/2 15:56,C,饮料,茶饮料
5.0,500ml统一阿萨姆奶茶,2017/1/2 16:07,E,饮料,茶饮料
4.5,500ml加多宝,2017/1/2 16:22,D,饮料,茶饮料
2.0,5片装益达绿箭口香糖,2017/1/2 16:58,C,非饮料,糖果/巧克力
2.5,30g无穷农场盐_鸡蛋,2017/1/2 17:03,B,非饮料,肉干/豆制品/蛋
2.0,145ml旺仔牛奶盒装,2017/1/2 17:46,E,饮料,乳制品
5.0,无穷农场盐_鸡蛋,2017/1/2 17:47,C,非饮料,肉干/豆制品/蛋
3.0,12g劲仔小鱼麻辣味,2017/1/2 18:16,D,非饮料,肉干/豆制品/蛋
3.5,250ml燕塘甜牛奶,2017/1/2 18:59,B,饮料,乳制品
2.0,怡宝纯净水,2017/1/2 19:02,C,饮料,水
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/2 20:28,B,非饮料,饼干糕点
3.0,250ml维他柠檬茶,2017/1/2 20:53,D,饮料,茶饮料
4.5,68g好丽友巧克力派2枚,2017/1/2 20:58,D,非饮料,饼干糕点
3.0,85g新麦潮北海道吐司,2017/1/2 21:04,D,非饮料,饼干糕点
2.5,伊利优酸乳,2017/1/2 21:18,B,饮料,乳制品
2.0,怡宝纯净水,2017/1/2 21:18,C,饮料,水
2.5,30g无穷农场盐_鸡蛋,2017/1/2 21:21,D,非饮料,肉干/豆制品/蛋
3.0,250ml维他原味豆奶,2017/1/2 21:50,D,饮料,植物蛋白
4.5,2g韩国海牌海苔,2017/1/2 22:42,A,非饮料,海味零食
4.0,脉动,2017/1/2 22:42,A,饮料,功能饮料
4.0,55g奥利奥原味芝士饼干,2017/1/2 23:03,C,非饮料,饼干糕点
3.5,王老吉（罐）,2017/1/2 23:48,B,饮料,茶饮料
4.0,银鹭八宝粥,2017/1/2 23:48,D,饮料,方便速食
1.5,40g双汇玉米热狗肠,2017/1/3 01:52,B,非饮料,肉干/豆制品/蛋
4.5,68g好丽友巧克力派2枚,2017/1/3 01:53,E,非饮料,饼干糕点
8.0,越南LIPO奶味面包干100g,2017/1/3 07:26,E,非饮料,饼干糕点
4.5,加多宝,2017/1/3 09:49,C,饮料,茶饮料
3.0,250ml维他柠檬茶,2017/1/3 09:50,A,饮料,茶饮料
5.0,脉动（青柠）,2017/1/3 10:01,E,饮料,功能饮料
5.0,500ml统一阿萨姆奶茶,2017/1/3 11:50,E,饮料,茶饮料
2.0,145ml旺仔牛奶盒装,2017/1/3 12:15,E,饮料,乳制品
4.0,奥利奥原味芝士,2017/1/3 13:19,E,非饮料,饼干糕点
9.0,四洲粟一烧烧烤味,2017/1/3 14:41,C,非饮料,膨化食品
2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/3 14:57,A,非饮料,饼干糕点
3.5,丽芝士纳宝帝奶酪威化饼干,2017/1/3 15:08,C,非饮料,饼干糕点
3.0,可口可乐最新款,2017/1/3 15:10,A,饮料,碳酸饮料
3.5,东鹏特饮,2017/1/3 15:10,E,饮料,功能饮料
5.0,12g劲仔小鱼麻辣味,2017/1/3 15:16,E,非饮料,肉干/豆制品/蛋
2.0,85g新麦潮手撕面包（提子味）,2017/1/3 15:20,B,非饮料,饼干糕点
2.5,伊利优酸乳,2017/1/3 15:20,B,饮料,乳制品
4.8,诗竹竹纤维面巾纸,2017/1/3 15:21,B,非饮料,纸巾
7.5,雀巢咖啡,2017/1/3 15:22,D,饮料,咖啡
4.0,银鹭八宝粥,2017/1/3 15:33,E,饮料,方便速食
3.0,果粒橙,2017/1/3 15:44,A,饮料,果蔬饮料
3.0,威化饼干,2017/1/3 15:44,B,非饮料,饼干糕点
1.0,香豆干,2017/1/3 15:46,A,非饮料,肉干/豆制品/蛋
5.0,阿萨姆奶茶,2017/1/3 15:46,B,饮料,茶饮料
4.0,85g新麦潮北海道吐司,2017/1/3 15:55,D,非饮料,饼干糕点
4.0,营养快线,2017/1/3 16:17,B,饮料,乳制品
3.0,果粒橙,2017/1/3 16:17,D,饮料,果蔬饮料
4.5,78g卫龙亲嘴语辣条,2017/1/3 16:23,A,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/1/3 16:24,A,饮料,功能饮料
1.5,香豆干,2017/1/3 16:24,E,非饮料,肉干/豆制品/蛋
3.0,果粒橙,2017/1/3 16:25,A,饮料,果蔬饮料
3.5,可乐可乐,2017/1/3 16:25,A,饮料,碳酸饮料
1.5,小鱼仔,2017/1/3 16:25,D,非饮料,海味零食
